Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Assists,xG Assisted,Key Passes,Scoring Contribution,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,OP Passes,Passing%,xGBuildup,Carries,Carry%,Carry Length,OP F3 Passes,OP Passes Into Box,Touches In Box,PinTin,Throughballs,Successful Crosses,Crossing%,Pass OBV,D&C OBV,DA OBV,Shot OBV,OBV
Leon Aderemi Balogun,Rangers,Premiership,444,Left Centre Back,36,0,0.09,0.09,1.01,0,0,0,0,0,0,0,0.41,0.2,0.41,3.62,12.27,10.35,6.49,0.12,4.87,2.23,11.56,1.97,5.59,50,68,66.33,88,0.78,54.97,98,5.26,1.83,0.2,1.83,2.03,0,0,,0.01,0.14,0.08,-0.14,0.09
Robbie Guthrie Deas,Kilmarnock,Premiership,867,Centre Back,25,0,0.07,0.11,0.62,0,17,0,0,0.01,0.31,0,0.21,0.1,0.1,0.87,4.53,15.88,8.61,0.08,5.09,2.18,12.87,0.95,1.82,42,64,33.83,66,0.39,18.58,98,4.88,2.91,0,2.08,2.08,0,0,0,0.04,0,-0.05,-0.06,-0.07
Kevin Holt,Dundee United,Premiership,907,Centre Back,32,0,0.03,0.06,0.5,0,0,0,0,0.03,0.4,0,0.3,0.3,0.2,0.85,3.47,12.4,6.15,0.07,5.26,3.18,10.22,1.54,2.38,46,63,30.86,72,0.17,18.36,96,3.57,3.37,0.3,2.68,2.98,0,0.1,50,0.01,0,0.05,-0.03,0.03
Clark Robertson,Dundee,Premiership,685,Centre Back,31,0,0.03,0.06,0.53,0,75,0,0,0.01,0.13,0,0,0,0.13,1.51,3.32,7.88,3.94,0.06,2.76,3.02,11.04,0.97,2.47,86,66,41.25,79,0.29,28.77,100,4.14,4.2,0.13,1.84,1.97,0,0.13,33,0.04,0.05,0.13,-0.04,0.18
Stuart John Findlay,Kilmarnock,Premiership,687,Centre Back,29,0,0.09,0.14,0.65,0,20,0,0,0.01,0.13,0,0.52,0.52,0.13,0.94,3.73,9.43,4.32,0.07,4.19,1.57,11.53,0.83,1.77,38,68,27.11,71,0.33,18.34,97,5.83,1.7,0,2.49,2.49,0,0,0,0.02,0.06,0.03,-0.07,0.05
Charles Dunne,St Mirren,Premiership,334,Left Centre Back,32,0,0,,0,,,0,0,0,0,0,0,0,0.81,0.99,2.82,11.32,5.39,0.02,4.31,3.5,10.51,0.59,1.58,75,88,30.98,77,0.13,23.71,94,4.09,2.42,0.27,0,0.27,0.54,0,0,0.04,0.03,0.03,,0.1
Gavin Molloy,Aberdeen,Premiership,1102,Centre Back,23,0,0.01,0.08,0.16,0,0,0,0,0,0,0,0,0,0.08,2.4,7.94,9.23,4.08,0.08,3.76,1.55,11.19,1.2,3.6,67,62,46.8,85,0.4,34.55,99,4.01,1.8,0,0.49,0.49,0,0,,0.1,0.04,-0.19,-0.01,-0.07
Moses Ebiye,Motherwell,Premiership,317,Left Centre Forward,28,0.57,0.75,0.26,2.84,20,50,6,0,0.01,0.28,0.57,1.14,1.14,1.71,0.91,0,18.48,7.39,0.03,3.13,4.83,6.25,0.87,1.78,50,26,16.77,75,0.71,15.07,81,4.69,7.11,0.57,6.82,7.39,0,0.28,33,-0.08,0.05,0.2,0.2,0.36
Benjamin Mbunga-Kimpioka,St Johnstone,Premiership,982,Centre Forward,25,0.37,0.26,0.14,1.83,20,40,4,0,0.04,0.83,0.37,2.38,0.92,3.03,0.44,0,16.59,4.58,0.01,1.65,1.83,4.13,0.75,1.2,67,10,16.32,78,0.37,22.73,72,6.21,6.51,0.28,6.33,6.6,0,0.09,50,-0.08,0.09,0.06,0.01,0.07
Ronan Hale,Ross County,Premiership,1049,Centre Forward,26,0.26,0.19,0.06,3.26,8,37,7,0,0.01,0.17,0.26,2.66,1.03,1.63,0.12,0.01,15.96,5.83,0,1.8,2.49,4.46,0.43,0.55,0,23,12.35,74,0.18,17.67,70,5.34,4.72,0.43,3.17,3.6,0,0.17,33,-0.02,0.01,0,0.05,0.04
Tony Watt,Motherwell,Premiership,308,Left Centre Forward,31,0,0.1,0.09,1.17,0,50,2,0,0.03,0.88,0,1.17,0.59,2.05,0,0.41,22.23,10.24,0,4.39,5.27,7.61,0.87,0.87,80,40,21.35,51,0.28,16.67,75,5.3,4.97,1.17,5.56,6.73,0.29,0.29,17,0.01,-0.07,-0.04,-0.09,-0.19
Mikael Mandron,St Mirren,Premiership,551,Centre Forward,30,0.16,0.15,0.09,1.63,10,70,3,0.16,0.11,0.98,0.33,1.31,0.98,1.47,0.03,2.8,20.57,9.14,0,2.94,2.78,4.41,0.82,0.85,67,53,22.7,68,0.4,20.9,80,4,6.69,0.82,5.55,6.37,0.33,0,0,-0.15,-0.05,0.03,-0.07,-0.24
Kenneth Vargas,Hearts,Premiership,897,Centre Forward,23,0.2,0.27,0.19,1.4,14,36,3,0,0.06,0.8,0.2,2.51,0.6,2.61,0.18,0.2,21.77,9.53,0.02,3.11,3.21,4.41,2.36,2.54,63,16,17.16,72,0.4,22.47,70,6.01,8.53,0.6,4.72,5.32,0,0.5,36,-0.07,0.07,0.02,0.01,0.04
Bruce Anderson,Kilmarnock,Premiership,336,Left Centre Forward,26,0.54,0.29,0.12,2.41,22,33,7,0,0.12,0.8,0.54,0.8,0,0.8,0,0.3,18.5,5.1,0.03,3.49,3.49,4.56,1.02,1.02,0,36,10.73,78,0.42,12.87,77,4.25,5.36,0.8,5.9,6.7,0,0.27,100,-0.02,0.2,0,0.31,0.48
Finlay Robertson,Dundee,Premiership,353,Left Centre Midfielder,22,0,0.02,0.03,0.51,0,0,1,0,0.03,0.76,0,0.25,0,1.02,0.15,0.42,24.98,11.72,0,2.55,3.31,8.66,0.97,1.12,60,17,27.27,70,0.15,24.47,93,5.56,6.63,1.27,1.27,2.55,0,0.51,22,0.04,0.07,0.09,-0.01,0.2
Reo Hatate,Celtic,Premiership,782,Attacking Midfielder,27,0.35,0.23,0.07,3.11,11,22,2,0,0.19,1.84,0.35,0.69,0.46,1.04,0.55,1.64,14.39,6.56,0,2.3,5.06,8.75,2.17,2.72,44,50,57.77,81,0.98,49.37,95,4.21,21.41,2.76,6.21,8.98,0.35,0.92,44,0.05,0.07,0.02,0.02,0.16
Arne Engels,Celtic,Premiership,520,Attacking Midfielder,21,0,0.1,0.05,1.9,0,0,2,0,0.32,2.25,0,0.52,0.35,0.52,0.53,2,15.76,6.93,0,3.81,3.64,7.27,1.91,2.44,33,50,52.63,75,0.97,45.36,96,4.71,22.16,0.87,5.71,6.58,0,0.17,8,0.27,0.07,0.04,-0.07,0.31
Killian Phillips,St Mirren,Premiership,845,Attacking Midfielder,23,0.11,0.15,0.1,1.6,7,33,3,0.11,0.12,0.75,0.21,0.53,0.21,0.53,0.24,1,18.21,10.22,0.02,3.19,5.01,9.8,0.88,1.12,71,45,24.6,62,0.36,18.42,90,3.95,5.32,0.85,3.3,4.15,0.21,0.11,6,0.16,0.02,0.03,0,0.21
Mohammed Diomande,Rangers,Premiership,713,Attacking Midfielder,23,0.13,0.14,0.09,1.52,8,17,2,0.13,0.08,1.39,0.25,1.52,0.76,1.01,0.93,1.55,18.43,7.32,0.02,2.9,5.3,8.96,1.5,2.43,50,43,42.93,85,0.93,40.27,93,4,14.14,1.14,3.28,4.42,0.13,0.13,33,0.06,-0.01,0.02,0.01,0.08
Graham Carey,St Johnstone,Premiership,604,Attacking Midfielder,36,0.15,0.05,0.04,1.49,10,50,2,0.15,0.17,1.64,0.3,1.04,0.75,1.64,0.49,1.28,17.14,9.09,0.02,3.58,4.47,9.24,1.17,1.66,38,31,39.95,72,0.27,32.8,92,4.38,10.29,1.79,2.53,4.32,0,0.75,36,0.13,0.12,-0.01,-0.06,0.19
Mark O'Hara,St Mirren,Premiership,1051,Attacking Midfielder,29,0.09,0.04,0.04,0.94,9,18,1,0.09,0.07,1.2,0.17,0.43,0.34,0.77,0.23,0.87,18.58,10.96,0.03,3.85,5.74,10.45,1.01,1.24,50,50,28.26,71,0.24,20.04,94,3.76,6.16,0.26,1.97,2.23,0,0.17,29,0.1,0.06,-0.06,0.02,0.13
Aidan Denholm,Ross County,Premiership,645,Attacking Midfielder,21,0,0.04,0.04,0.98,0,29,2,0.14,0.1,1.26,0.14,0.84,0.28,1.95,0.77,0.86,16.34,7.12,0.01,1.82,4.75,12.15,0.97,1.74,60,37,28.62,69,0.2,23.6,83,6.05,8.38,0.84,1.95,2.79,0,0.42,43,0.07,0.06,0.03,-0.06,0.11
Roland Idowu,St Mirren,Premiership,521,Defensive Midfielder,23,0.17,0.11,0.07,1.55,11,33,3,0,0.04,0.69,0.17,3.97,1.9,2.42,1,0.86,26.24,10.19,0,5.87,4.49,7.94,2.13,3.13,29,20,22.1,69,0.22,28.31,79,6.36,7.08,0.35,1.9,2.24,0,0.35,29,-0.03,0.12,0.07,0.05,0.21
Lyall Cameron,Dundee,Premiership,1066,Attacking Midfielder,22,0.08,0.09,0.06,1.52,6,28,2,0.25,0.17,2.11,0.34,1.1,0.59,1.1,1,0.58,14.27,6.84,0.03,3.21,6.42,10.64,0.84,1.84,33,20,38.07,75,0.33,36.72,93,5.25,13.42,1.69,2.28,3.97,0.17,0.34,29,0.06,0.09,0,0.01,0.16
Craig Sibbald,Dundee United,Premiership,691,Defensive Midfielder,30,0.13,0.05,0.1,0.52,25,25,1,0,0.01,0.52,0.13,0.13,0,1.17,0.4,0.97,20.33,12.12,0.02,3,6.12,11.34,1.59,1.99,33,31,24.89,74,0.31,18.37,91,4.32,5.99,0.39,0.91,1.3,0,0,0,0.05,0.06,0.03,0,0.14
Joe Newell,Hibernian,Premiership,751,Defensive Midfielder,32,0.12,0.01,0.02,0.6,20,20,0,0,0.04,1.08,0.12,0.84,0.48,0.6,0.34,1.89,13.67,5.51,0.05,3.72,8.27,12.59,0.62,0.95,33,59,38.12,72,0.23,27.57,95,4.88,11.63,0.96,0.36,1.32,0,0.36,30,0.12,0.08,0.07,-0.02,0.25
Nectarios Triantis,Hibernian,Premiership,712,Defensive Midfielder,22,0,0.06,0.07,0.88,0,14,1,0,0.02,0.88,0,1.52,1.26,1.26,1.5,2.83,22.5,11.88,0.08,4.3,8.34,14.41,2.28,3.78,83,50,36.15,78,0.24,27.68,90,6.39,8.85,0.63,0.88,1.52,0,0,0,0.06,0.08,-0.01,-0.02,0.12
Malachi Boateng,Hearts,Premiership,959,Defensive Midfielder,22,0,0.04,0.05,0.75,0,0,0,0.19,0.05,0.56,0.19,0.66,0.28,0.75,2.05,2.77,16.14,7.6,0.02,5.44,5.54,14.17,1.65,3.7,63,62,54.15,82,0.37,40.63,94,4.27,10.89,0.56,0.84,1.41,0,0.09,50,0.06,0.06,0.05,-0.05,0.13
Cameron MacPherson,St Johnstone,Premiership,358,Left Defensive Midfielder,26,0,0.04,0.04,1.01,0,0,1,0,0.18,1.76,0,0.5,0.25,1.51,1.88,0.85,18.88,11.83,0.02,2.77,4.53,8.81,1.26,3.14,38,43,43.05,78,0.36,33.73,94,4.29,11.83,0.76,1.01,1.76,0,0.5,18,0.17,0.06,0.04,-0.02,0.25
Sivert Heltne Nilsen,Aberdeen,Premiership,944,Defensive Midfielder,33,0,0.01,0.04,0.38,0,50,0,0.1,0.05,0.86,0.1,0.67,0.38,0.48,0.92,2.18,18.03,10.49,0.02,5.34,5.06,13.83,2.05,2.98,42,59,55.61,85,0.62,45.02,98,3,12.69,0.67,0.57,1.24,0.19,0,,0.07,0.08,0.06,-0.01,0.2
David Babunski,Dundee United,Premiership,948,Defensive Midfielder,31,0.09,0.12,0.07,1.61,6,18,3,0.09,0.11,1.33,0.19,2.75,1.42,1.61,0.6,0.99,19.66,10.07,0,4.37,4.08,8.36,1.64,2.23,55,27,27.83,78,0.2,30.39,86,4.33,8.07,1.23,2.18,3.42,0.19,0.76,50,0.11,0.05,0.05,0,0.2
Andy Halliday,Motherwell,Premiership,785,Defensive Midfielder,33,0.11,0.14,0.16,0.92,13,38,1,0.23,0.08,1.26,0.34,0.46,0.23,0.57,0.68,0.53,16.05,9.4,0.02,2.64,3.67,7.22,0.66,1.34,50,57,22.47,67,0.33,18.35,94,4.57,5.05,0.23,1.72,1.95,0,0.11,11,0.03,0.03,-0.05,0.07,0.07
Connor Barron,Rangers,Premiership,946,Defensive Midfielder,22,0,0.01,0.03,0.19,0,50,0,0,0.04,0.95,0,0.67,0.29,0.86,1.48,2.94,17.79,8.75,0.05,3.42,5.14,9.23,3.47,4.95,45,21,56.22,90,0.72,48.61,97,4.32,9.8,0.57,0.76,1.33,0.1,0.19,67,0.01,0.06,0.04,0,0.12
Liam Polworth,Kilmarnock,Premiership,383,Left Defensive Midfielder,30,0,0.01,0.02,0.47,0,0,1,0,0.03,0.94,0,0.47,0.24,1.65,0.26,1.84,18.34,9.4,0.06,3.29,5.88,13.4,1.46,1.72,67,75,39.26,74,0.2,31.97,93,3.77,8.93,1.18,0.24,1.41,0.24,0,0,0.09,0.05,0.21,-0.01,0.34
Matthew Kennedy,Kilmarnock,Premiership,1008,Winger,30,0.36,0.18,0.11,1.61,22,50,2,0,0.2,2.59,0.36,2.14,1.16,2.32,0.71,0.71,11.52,5.27,0.01,2.05,4.73,7.59,0.62,1.33,33,22,25.81,67,0.46,29.47,83,8.71,9.2,1.96,2.5,4.46,0,1.61,41,0.26,0.12,0.02,0.04,0.43
Blair Spittal,Hearts,Premiership,893,Winger,29,0.2,0.09,0.07,1.41,14,21,1,0.2,0.23,2.02,0.4,0.6,0.2,0.4,0.58,0.99,13.5,6.55,0.01,1.71,5.64,9.37,1.45,2.04,31,53,47.76,73,0.51,36.28,96,2.78,17.03,2.42,1.41,3.83,0.2,0.3,15,0.23,0.07,0.02,-0.02,0.3
Junior Hoilett,Hibernian,Premiership,617,Winger,34,0.15,0.08,0.06,1.46,10,10,2,0,0.24,3.21,0.15,2.77,2.19,2.92,0.83,1.13,22.18,9.19,0.04,3.36,3.79,7.15,1.66,2.49,58,36,31.07,68,0.28,34.43,86,6.4,13.42,1.6,2.63,4.23,0,1.02,33,0.19,0.1,0.03,-0.02,0.3
Scott Tiffoney,Dundee,Premiership,666,Winger,26,0.27,0.18,0.11,1.62,17,33,4,0.14,0.05,0.68,0.41,2.16,1.08,1.76,0.43,0.59,20.55,7.3,0,3.65,1.89,5.14,1.29,1.72,33,26,21.9,60,0.26,26.09,80,5.68,8.38,1.49,3.79,5.27,0.14,0.81,29,0,0.15,0.01,-0.04,0.12
Nedim Bajrami,Rangers,Premiership,548,Winger,26,0.16,0.13,0.05,2.63,6,25,2,0,0.2,1.64,0.16,3.28,1.64,1.48,0.73,1.07,11.33,3.28,0,1.15,5.25,8.54,1.28,2.02,33,20,42.03,77,0.51,43.02,90,5.89,17.08,2.46,3.61,6.08,0,0.82,38,0.13,0.14,0.04,-0.1,0.2
Greg Kiltie,St Mirren,Premiership,401,Left Wing,28,0,0.02,0.03,0.9,0,0,1,0,0.05,0.45,0,1.35,0,1.12,0.35,0,26.46,14.57,0,2.47,3.59,5.61,0.48,0.84,67,24,15.47,63,0.16,17.71,78,5.58,5.61,1.12,2.47,3.59,0.22,0.45,17,-0.03,0.01,0.01,0,-0.01
Duk,Aberdeen,Premiership,321,Left Wing,25,0,0.22,0.1,2.24,0,50,5,0,0.07,0.56,0,2.8,1.12,4.2,0.84,1.9,14.02,6.17,0.02,1.12,3.36,5.05,1.47,2.31,50,44,15.98,69,0.55,26.07,69,9.66,7.01,0.84,6.17,7.01,0,0.56,33,0.04,0.23,0,-0.11,0.16
Jamie McGrath,Aberdeen,Premiership,825,Winger,28,0.22,0.19,0.1,1.85,12,24,2,0.65,0.31,2.94,0.87,1.2,0.44,2.18,1.21,1.58,21.37,11.12,0.03,4.91,3.93,6.65,1.9,3.12,62,52,32.6,73,0.43,33.48,89,4.36,11.34,1.64,4.47,6.11,0.33,0.87,50,0.23,0.07,0.06,0.01,0.38
Glenn Middleton,Dundee United,Premiership,447,Left Wing,25,0,0.05,0.05,1.01,0,20,1,0.2,0.23,1.01,0.2,1.41,0.81,1.41,0.34,1.03,10.27,2.42,0,2.42,2.22,4.63,1.28,1.63,50,38,21.35,69,0.41,22.15,84,8.34,9.26,1.81,2.42,4.23,0,1.81,43,0.24,0.09,0.01,-0.06,0.27
Kristijan Trapanovski,Dundee United,Premiership,560,Winger,25,0.16,0.22,0.07,3.05,5,32,6,0.16,0.09,0.8,0.32,4.18,0.96,1.93,0.14,0.07,20.08,7.39,0,2.09,4.02,6.11,0.63,0.78,29,5,16.23,62,0.5,24.58,70,7.5,6.27,0.8,4.82,5.62,0,0.48,16,0.04,0.11,0.01,0.02,0.18
Rudi Allan Molotnikov,Hibernian,Premiership,480,Left Wing,19,0,0.11,0.07,1.5,0,25,3,0,0.03,0.19,0,3.56,1.69,3.93,0,0.26,22.3,9.56,0,2.81,2.62,4.5,1.59,1.59,33,21,18.17,76,0.24,24.73,69,5.97,6.93,0.56,1.69,2.25,0,0.37,33,-0.01,0,0,-0.06,-0.08
Daizen Maeda,Celtic,Premiership,773,Winger,27,0.23,0.29,0.18,1.63,14,36,2,0.12,0.16,1.05,0.35,1.63,0.47,1.51,1.3,0.74,19.44,9.78,0,5.01,2.21,4.07,2.95,4.25,31,37,25.61,77,0.62,23.86,81,5.89,12.57,1.16,6.75,7.92,0,0.7,38,0.04,0.05,0.05,0,0.13
Will Ferry,Dundee United,Premiership,1193,Full Back,24,0,0.03,0.06,0.53,0,14,1,0.23,0.09,1.13,0.23,1.06,0.83,0.98,1.32,1.55,16.3,6.57,0.04,4.45,4.53,12,1.4,2.72,55,41,35.77,63,0.41,28.83,93,5.08,8.75,1.28,1.66,2.94,0.08,1.36,34,0.24,0.12,0,-0.03,0.32
Ziyad Larkeche,Dundee,Premiership,1058,Full Back,22,0.26,0.1,0.09,1.02,25,58,2,0,0.08,0.94,0.26,2.04,1.02,1.28,0.71,1.72,19.66,7.23,0.01,3.23,3.74,8.85,2.25,2.95,55,39,23.48,68,0.24,24.08,86,6.34,7.23,0.77,2.04,2.81,0.09,0.51,26,0.06,0.07,0.02,0.02,0.18
Ewan Wilson,Motherwell,Premiership,1089,Full Back,20,0,0.02,0.04,0.5,0,17,1,0,0.07,0.58,0,1.4,0.66,0.83,0.51,1.45,20.49,11.15,0.04,5.54,3.22,7.19,1.44,1.95,47,41,20.99,71,0.19,18.84,88,5.98,4.3,0.41,0.58,0.99,0,0.33,24,0.11,0.03,0.12,-0.01,0.24
André Raymond,St Johnstone,Premiership,911,Full Back,24,0,0.06,0.16,0.39,0,0,1,0.1,0.1,0.99,0.1,2.07,1.18,1.97,2.28,0.64,22.32,8.49,0.02,4.84,1.68,7.5,2.47,4.75,70,22,30.91,75,0.4,31.7,88,5.13,6.42,0.79,0.39,1.18,0,0.69,37,0.1,0.07,0.05,-0.05,0.17
Scott Tanser,St Mirren,Premiership,805,Full Back,30,0.11,0.02,0.03,0.89,13,13,1,0.11,0.14,1.45,0.22,0.78,0.45,0.56,1.74,2.54,13.3,4.58,0.01,3.24,4.02,10.4,1.2,2.94,59,64,32.64,60,0.29,21.24,93,5.36,6.48,1.79,1.12,2.91,0.11,1.34,46,0.25,0.02,0.05,-0.02,0.3
Jaden Brown,St Mirren,Premiership,392,Left Wing Back,26,0,0.03,0.03,0.92,0,25,2,0.46,0.06,0.92,0.46,1.84,0.69,1.61,0.63,2.5,16.3,6.89,0,3.44,3.44,7.58,1.25,1.88,100,57,23.65,61,0.12,23.42,85,5.55,3.9,0.92,0.46,1.38,0,0.92,33,0.05,0.08,0.04,-0.03,0.14
Elijah Campbell,Ross County,Premiership,739,Full Back,20,0,0.01,0.05,0.24,0,0,1,0,0.05,0.37,0,0.73,0.49,0.61,1.43,2.48,14.98,7.07,0.03,3.41,2.31,7.07,1.16,2.59,70,64,19.74,57,0.18,13.89,90,3.92,4.02,0.12,0.61,0.73,0,0.12,9,0.14,0.02,-0.07,-0.01,0.08
James Tavernier,Rangers,Premiership,986,Full Back,33,0,0.1,0.07,1.55,0,18,1,0.18,0.21,2.46,0.18,1.46,0.64,0.73,2.91,3.5,15.79,6.39,0.06,4.02,4.47,8.76,4.32,7.23,67,61,57.49,76,0.64,51.56,95,4.53,17.52,1.46,2.65,4.11,0.09,1.28,37,0.35,0.1,0.2,-0.05,0.6
Drey Wright,St Johnstone,Premiership,1231,Full Back,30,0.07,0.02,0.04,0.51,14,29,0,0,0.07,1.17,0.07,1.17,0.58,0.66,1.67,1.86,10.6,3.58,0.01,3.07,4.83,8.99,1.75,3.41,91,50,43.43,78,0.36,37.58,95,4.78,10.45,0.95,0.73,1.68,0,0.51,27,0.15,0.07,0.04,-0.01,0.24
Nicky Devlin,Aberdeen,Premiership,1085,Full Back,31,0.25,0.07,0.1,0.75,33,56,1,0.08,0.03,0.25,0.33,0.58,0.17,0.66,0.79,1.78,10.54,3.4,0.06,2.57,2.65,6.14,1.02,1.81,53,29,30.53,73,0.41,26.96,94,3.64,7.13,0.5,1.58,2.07,0,0.08,8,0.09,0.03,0.01,0.14,0.28
Lewis Miller,Hibernian,Premiership,885,Full Back,24,0.1,0.06,0.07,0.81,13,13,0,0.1,0.11,1.42,0.2,3.36,1.22,1.63,1.88,1.31,17.59,7.22,0.01,3.97,3.86,9.56,2.07,3.95,38,63,34.78,64,0.27,29.8,85,5.86,9.05,0.81,3.36,4.17,0,0.61,35,0.29,0.07,-0.02,-0.02,0.32
Chris Cadden,Hibernian,Premiership,553,Full Back,28,0,0.09,0.14,0.65,0,25,1,0.33,0.1,0.65,0.33,0.81,0,1.63,1.36,1.91,17.25,7.48,0.02,2.93,2.6,5.53,1.66,3.02,33,64,30.59,70,0.28,28.15,87,5.59,8.46,0.65,2.12,2.77,0.16,0.16,7,0.07,0.01,0.01,0.02,0.1
Jordan McGhee,Dundee,Premiership,562,Full Back,28,0.16,0.07,0.08,0.8,20,40,0,0,0.01,0.32,0.16,0.48,0.32,0.48,0.89,5.6,8.64,4.96,0.02,3.36,3.04,10.56,1.33,2.22,40,60,36,76,0.26,24.96,96,4.91,6.24,0.32,2.72,3.04,0,0.16,25,0.02,0.02,0.07,0.05,0.17
Daniel Oyegoke,Hearts,Premiership,595,Full Back,22,0.15,0.01,0.03,0.3,50,50,0,0,0.01,0.45,0.15,2.12,1.21,1.21,1.17,2.1,19.35,9.53,0.03,5.14,3.78,11.04,3.95,5.11,63,43,47.63,78,0.38,44,94,5.1,9.83,0.76,0.6,1.36,0,0.3,18,0.09,0.1,0.07,-0.01,0.25
Alistair Johnston,Celtic,Premiership,963,Full Back,26,0.37,0.14,0.17,0.84,44,56,0,0.28,0.28,1.78,0.65,0.37,0.19,0.65,1.14,3.01,11.87,4.02,0.05,2.8,3.46,9.16,3.55,4.69,75,67,72.55,86,1.04,62.92,99,3.97,23.19,2.15,4.02,6.17,0.19,1.22,45,0.23,0.11,0.06,0.08,0.48
Gerald Taylor,Hearts,Premiership,396,Right Back,24,0,0,0.02,0.23,0,0,0,0,0.02,0.23,0,3.86,2.04,1.82,1.94,1.49,20.66,9.08,0.04,4.77,3.63,8.63,2.21,4.15,82,100,27.7,60,0.15,29.52,81,6.73,6.13,0.45,0.68,1.14,0,0.45,33,0.25,0.2,-0.4,0,0.05
Jack Burroughs,Kilmarnock,Premiership,385,Right Back,24,0,0,,0,,,0,0,0.03,0.7,0,0.7,0.23,0.7,1.79,3.22,13.56,5.61,0.02,5.61,4.68,10.05,0.92,2.71,71,58,28.29,65,0.39,22.21,92,5.19,6.31,0.7,0.23,0.94,0,0.7,33,0.1,0.07,0.02,,0.19
Emmanuel Adegboyega,Dundee United,Premiership,985,Centre Back,21,0.09,0.07,0.08,0.82,11,22,0,0,0.02,0.27,0.09,0.09,0.09,0.27,1.01,2.42,10.88,5.03,0.03,4.02,2.93,10.15,0.84,1.86,67,50,28.34,68,0.21,21.21,98,5.1,4.39,0.55,1.55,2.1,0,0.37,57,0.08,0.05,0.08,0,0.21
Slobodan Rubežić,Aberdeen,Premiership,1102,Centre Back,25,0,0.04,0.09,0.49,0,0,0,0,0.02,0.25,0,0.41,0.33,0.08,1.47,7.48,8.9,4.33,0.08,3.02,1.31,10.86,1.05,2.53,78,71,40.02,80,0.47,28.02,99,5.47,1.72,0.08,1.31,1.39,0,0,,0.03,0.06,0.07,-0.06,0.1
Paul McGinn,Motherwell,Premiership,612,Centre Back,34,0.15,0.03,0.09,0.29,50,50,0,0,0.06,0.15,0.15,0.73,0.59,0.59,0.75,1.54,9.85,4.41,0.08,3.23,2.5,7.2,0.67,1.42,25,41,30.12,75,0.41,25.57,95,5.65,4.85,0.44,1.32,1.76,0,0.29,67,0.1,0.06,0.18,0.04,0.37
Aaron Essel,St Johnstone,Premiership,579,Centre Back,19,0,0.04,0.04,0.93,0,33,1,0.16,0.05,0.62,0.16,0.78,0.47,0.78,2.29,2.88,20.04,10.87,0.04,5.13,4.51,11.03,2.05,4.34,57,58,34.02,74,0.38,29.21,92,4.56,5.13,0.78,1.24,2.02,0,0.31,50,0.09,0.07,0.04,0.02,0.22
Lewis Neilson,St Johnstone,Premiership,1152,Centre Back,22,0,0.04,0.09,0.47,0,17,0,0,0.02,0.31,0,0.78,0.47,0.31,1.41,4.03,9.38,3.83,0.05,4.53,2.11,8.99,1.4,2.81,50,53,41.25,80,0.2,32.97,96,5.23,3.91,0.23,0.78,1.02,0,0.08,33,0.1,0.05,0.11,-0.04,0.22
Marcus Fraser,St Mirren,Premiership,1299,Centre Back,30,0,0.02,0.08,0.28,0,50,0,0.21,0.08,1.11,0.21,0.55,0.35,0.28,0.64,2.16,11.64,4.57,0.07,2.77,5.34,13.44,1.37,2.02,60,57,34.79,71,0.28,24.46,97,4.82,5.61,1.04,1.11,2.15,0.07,0.83,57,0.14,0.05,0,0.01,0.21
Akil Wright,Ross County,Premiership,1282,Centre Back,29,0.14,0.06,0.1,0.56,25,25,0,0,0.01,0.14,0.14,0.21,0.21,0.21,1.04,3.44,10.6,4.91,0.05,3.37,3.09,10.67,1.14,2.19,74,70,26.95,76,0.16,17.34,97,5.43,3.79,0.14,1.26,1.4,0,0.14,67,0.04,0.04,0.07,0,0.15
Auston Trusty,Celtic,Premiership,597,Centre Back,26,0,0.07,0.11,0.6,0,25,0,0,0.01,0.3,0,0.15,0.15,0.15,3.06,4.01,6.78,3.32,0.12,3.01,2.26,11.9,1.62,4.68,50,62,97.35,95,1.07,82.73,100,5.19,13.26,0.15,1.66,1.81,0,0.15,100,0.12,0.07,0.04,0.03,0.26
Cameron Carter-Vickers,Celtic,Premiership,597,Centre Back,27,0,0,,0,,,0,0,0,0,0,0.15,0.15,0.45,4.38,6.81,6.63,2.41,0,3.31,2.11,11.9,2.28,6.66,33,81,96.56,94,1.13,77.73,99,4.43,7.68,0,0,0,0,0,,0.1,0.1,0,,0.2
John Souttar,Rangers,Premiership,974,Centre Back,28,0,0.04,0.08,0.55,0,33,0,0,0.01,0.28,0,0,0,0.37,1.23,8.52,6.65,2.77,0.11,3.69,1.75,10.9,1.09,2.32,83,72,72.59,92,0.75,59.57,99,4.9,5.73,0.28,1.29,1.57,0,0.09,100,0.06,0.09,0.01,-0.03,0.13
Frankie Kent,Hearts,Premiership,1083,Centre Back,29,0.17,0.16,0.17,0.91,18,18,0,0,0.06,0.5,0.17,0.17,0.08,0.08,1.12,5.88,10.47,4.99,0.07,3.82,1.41,11.3,1.34,2.45,80,68,56.35,88,0.64,42.47,100,4.87,3.74,0.17,3.08,3.24,0.08,0,0,0.14,0.05,-0.01,0.05,0.22
