Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Assists,xG Assisted,Key Passes,Scoring Contribution,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,OP Passes,Passing%,xGBuildup,Carries,Carry%,Carry Length,OP F3 Passes,OP Passes Into Box,Touches In Box,PinTin,Throughballs,Successful Crosses,Crossing%,Pass OBV,D&C OBV,DA OBV,Shot OBV,OBV
Jack Sanders,St Johnstone,Premiership,1144,Centre Back,26,0,0.05,0.09,0.55,0,14,0,0,0.01,0.16,0,0.16,0.16,0.08,1.48,9.43,12.28,5.82,0.09,6.77,1.65,14.09,1.59,3.06,62,71,56.5,81,0.34,41.55,100,3.88,1.97,0,1.65,1.65,0.16,0,,0.04,0.03,-0.05,-0.04,-0.02
Callum McGregor,Celtic,Premiership,878,Defensive Midfielder,31,0.51,0.05,0.04,1.43,36,43,1,0,0.06,0.82,0.51,0.92,0.61,1.33,1.69,1.8,10.86,5.23,0.06,3.59,5.53,11.17,1.81,3.5,50,41,76.14,93,0.89,65.99,96,3.87,21.52,1.23,0.61,1.84,0.51,0,0,0.08,0.07,0.1,-0.02,0.23
Sven Sprangler,St Johnstone,Premiership,813,Defensive Midfielder,30,0,0.02,0.05,0.44,0,0,0,0,0,0.11,0,0.44,0.44,0.78,2.97,3.66,24.14,12.51,0.03,6.64,4.1,11.96,3.26,6.24,53,66,43.63,86,0.3,29.01,95,4.36,5.32,0.44,0.55,1,0,0,,-0.01,0.07,0.08,-0.02,0.12
Connor Randall,Ross County,Premiership,1203,Defensive Midfielder,29,0,0.04,0.04,0.9,0,25,2,0,0.01,0.45,0,0.97,0.52,1.05,1.15,1.59,21.4,10.92,0.07,5.24,5.84,12.94,1.52,2.67,54,51,28.21,66,0.19,21.4,89,5.87,6.66,0.22,0.9,1.12,0,0.15,20,0.02,0.06,0.05,-0.04,0.09
Paulo Bernardo,Celtic,Premiership,560,Defensive Midfielder,23,0.16,0.07,0.09,0.8,20,40,1,0.16,0.25,2.89,0.32,2.09,1.12,1.12,2.62,1.42,16.39,5.62,0,4.02,5.14,8.19,5.3,7.92,75,33,50.94,82,1.03,43.55,91,3.2,18.8,1.29,4.02,5.3,0,0.16,10,0.07,0.04,0.03,0,0.13
Nicolas Raskin,Rangers,Premiership,514,Defensive Midfielder,24,0,0.04,0.04,1.05,0,17,1,0,0.01,0.35,0,1.92,1.75,1.4,1.83,3.03,23.97,12.42,0.07,6.3,5.07,11.02,6.33,8.16,77,72,52.31,85,0.67,45.14,96,6.07,8.75,0.17,0.35,0.52,0,0,0,-0.02,0.1,0.08,-0.04,0.12
Caolan Boyd Munce,St Mirren,Premiership,644,Defensive Midfielder,25,0,0.02,0.03,0.56,0,50,0,0.14,0.07,0.98,0.14,0.14,0,0.56,0.7,2.07,17.61,10.76,0.01,5.59,5.31,10.48,1.33,2.03,50,57,33.82,76,0.39,26.13,96,3.63,5.73,0.56,0,0.56,0.14,0,0,0.08,0.06,0.04,-0.01,0.18
Mohamad Sylla,Dundee,Premiership,931,Defensive Midfielder,31,0,0,0.02,0.19,0,0,0,0,0.01,0.19,0,0.48,0.39,0.48,1.24,2.67,18.27,8.41,0.04,3.96,5.51,12.47,3.12,4.36,85,67,24.08,76,0.16,16.92,93,5.14,3.19,0.19,0.68,0.87,0,0,0,0.02,0.03,0.11,-0.01,0.15
Jort van der Sande,Dundee United,Premiership,661,Centre Forward,29,0,0.04,0.07,0.54,0,25,1,0,0.14,1.36,0,0.95,0.41,1.36,0.2,0.72,19.06,7.62,0.01,2.59,2.72,4.76,0.3,0.5,0,35,23.68,66,0.32,17.42,77,3.78,7.35,0.41,4.76,5.17,0,0.14,50,-0.08,-0.05,0.07,-0.04,-0.1
Sam Dalby,Dundee United,Premiership,701,Centre Forward,25,0.39,0.27,0.16,1.67,23,46,3,0,0.04,0.9,0.39,0.64,0.13,1.67,0.03,2.14,16.31,6.04,0,2.83,2.44,3.85,0.17,0.2,0,45,21.06,62,0.35,14.39,77,4.14,7.32,0.39,6.68,7.06,0.13,0.39,60,-0.07,0.03,0.02,0.13,0.11
Mykola Kukharevych,Hibernian,Premiership,803,Centre Forward,23,0.22,0.27,0.11,2.35,10,33,5,0,0.06,0.45,0.22,1.57,0.11,0.67,0.2,1.04,29.14,15.02,0.02,6.05,2.58,3.59,0.86,1.06,67,30,12.78,66,0.38,14.01,70,4.95,3.81,0.11,4.93,5.04,0,0.11,33,-0.07,0.01,-0.09,-0.16,-0.3
Thody Élie Youan,Hibernian,Premiership,337,Centre Forward,26,0,0.16,0.07,2.13,0,0,3,0,0.12,1.07,0,4,1.6,2.67,0.41,0.29,14.67,6.13,0,2.13,3.73,6.4,0.21,0.63,0,73,27.74,77,0.26,32,77,6.02,10.93,1.6,2.93,4.53,0,1.07,44,0.03,0.09,0.03,-0.15,0.01
Simon Murray,Dundee,Premiership,1089,Centre Forward,33,0.25,0.19,0.13,1.49,17,39,4,0,0.07,0.58,0.25,1.4,0.91,1.4,0.15,1.46,18.76,8.68,0.03,2.81,2.48,3.97,0.33,0.47,22,23,13.72,59,0.41,16.86,75,4.71,4.3,0.91,5.29,6.2,0,0.25,13,0.04,0.1,-0.01,0.06,0.19
Kevin Nisbet,Aberdeen,Premiership,387,Centre Forward,28,0.7,0.21,0.08,2.56,27,36,6,0.23,0.08,0.7,0.93,0.93,0,0.93,0,0.67,20.22,11.16,0,2.79,1.86,3.02,0,0,0,56,16.04,61,0.2,14.88,70,2.59,2.79,0.23,3.95,4.18,0.23,0,,-0.05,-0.06,0.01,0.09,-0.01
Cyriel Dessers,Rangers,Premiership,819,Centre Forward,30,0.44,0.56,0.22,2.53,17,48,7,0.11,0.13,0.66,0.55,1.76,0.66,1.76,0.18,0.73,20.55,9.89,0.04,3.85,2.09,2.75,0.16,0.33,0,32,11.43,74,0.71,14.29,70,3.94,3.85,0.11,8.35,8.46,0.11,0,0,-0.09,-0.04,0.09,0,-0.04
Lawrence Shankland,Hearts,Premiership,1222,Centre Forward,29,0.07,0.29,0.09,3.09,2,26,4,0.22,0.23,1.1,0.29,1.25,0.59,1.91,0.13,0.97,17.89,7.73,0.01,2.72,2.8,4.64,0.33,0.46,17,41,22.53,69,0.46,21.57,80,4.51,7.95,0.59,9.06,9.64,0.15,0.22,33,-0.04,-0.02,-0.04,-0.17,-0.26
Adam Idah,Celtic,Premiership,319,Centre Forward,24,0.56,0.62,0.16,3.95,14,57,6,0,0.21,1.13,0.56,1.41,0,2.54,0,1.71,9.58,3.38,0,3.1,4.79,5.07,0.51,0.51,,64,20.01,75,0.44,22.83,72,4.77,8.17,0.85,10.99,11.84,0,0,0,-0.07,-0.07,0.01,-0.01,-0.14
Ester Sokler,Aberdeen,Premiership,632,Centre Forward,25,0.14,0.32,0.22,1.42,10,30,4,0,0.08,0.85,0.14,0.43,0,0.71,0,1.38,20.22,9.11,0.01,3.84,2.56,4.13,0.27,0.27,0,45,14.1,71,0.53,12.53,76,3.8,4.13,0.14,5.55,5.7,0,0,0,-0.05,0,0.05,0.05,0.06
Kyogo Furuhashi,Celtic,Premiership,751,Centre Forward,30,0.48,0.72,0.15,4.79,10,45,18,0.36,0.05,0.72,0.84,0.36,0.12,0.96,0.23,0.66,12.22,5.15,0,4.07,2.16,2.64,0,0.23,0,10,8.63,72,0.49,8.99,79,6.51,3.83,0.36,8.27,8.63,0,0.12,100,-0.01,0.01,0,-0.05,-0.04
Zach Robinson,Motherwell,Premiership,559,Centre Forward,22,0,0.15,0.12,1.29,0,13,3,0,0.01,0.32,0,1.77,0.81,2.74,0.08,0.38,23.37,11.44,0.02,3.06,3.71,5.32,0.81,0.88,0,30,12.25,75,0.45,18.53,68,6.14,3.22,0,3.06,3.06,0,0,0,-0.07,-0.01,0,-0.06,-0.14
Josef Bursik,Hibernian,Premiership,1201,Goalkeeper,24,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,4.27,0,0,,,19.33,66,0.06,14.08,100,6.26,0.3,0,0,0,0,0,,0.13,0.09,,,-0.16
Aston Oxborough,Motherwell,Premiership,1089,Goalkeeper,27,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0.08,0,7.11,0,3.64,0,0,0,,16.77,56,0.09,12.31,100,5.26,0.5,0,0,0,0,0,,0.17,0.05,,,0.23
Jack Butland,Rangers,Premiership,1076,Goalkeeper,32,0,0,,0,,,0,0,0,0.08,0,0,0,0,0,0.13,0.08,0,0,5.6,0,4.1,0,0,100,,26.18,81,0.44,20.41,100,4.25,0.42,0,0,0,0,0,,0.09,0.06,0,,0.51
Ellery Balcombe,St Mirren,Premiership,1299,Goalkeeper,25,0,0,,0,,,0,0,0,0,0,0.14,0.14,0,0,0.05,0,0,0,6.17,0,4.5,0,0,,,16.49,50,0.06,14,100,5.74,0.69,0,0,0,0,0,,0.17,0.09,0,,0.21
Ross Laidlaw,Ross County,Premiership,1282,Goalkeeper,32,0,0,,0,,,0,0,0,0.14,0,0,0,0.07,0,0.09,0.14,0,0,7.23,0,4.63,0,0,0,,17.06,51,0.06,12.28,99,6.76,1.97,0.28,0,0.28,0,0,,0.21,0.05,0,,0.15
Ross Sinclair,St Johnstone,Premiership,851,Goalkeeper,24,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,3.6,0,0,,,19.67,62,0.09,12.8,100,4.88,0,0,0,0,0,0,,0.1,0.08,,,-0.47
Dimitar Mitov,Aberdeen,Premiership,1102,Goalkeeper,28,0,0,,0,,,0,0,0,0.08,0,0,0,0,0,0,0.08,0.08,0,6.62,0,3.68,0,0,,,22.79,70,0.18,18.54,100,4.16,0.08,0,0,0,0,0,,0.08,0.06,,,0.36
Jack Walton,Dundee United,Premiership,1193,Goalkeeper,27,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0.08,0,0,7.47,0,3.7,0,0,,,14.87,55,0.1,11.09,100,5.85,0.98,0.15,0,0.15,0,0,,0.15,0.07,-0.06,,0.1
Jon McCracken,Dundee,Premiership,991,Goalkeeper,25,0,0,,0,,,0,0.09,0.03,0.18,0.09,0.09,0.09,0,0,0,0.36,0.09,0,8.26,0,3.63,0,0,,,17.34,42,0.11,13.16,100,6.25,1.72,0.18,0,0.18,0,0,,0.22,0.05,,,-0.24
Kieran O'Hara,Kilmarnock,Premiership,405,Goalkeeper,29,0,0,,0,,,0,0,0,0,0,0,0,0,0,0.15,0,0,0,5.34,0,5.56,0,0,,,18.01,46,0.03,13.56,100,6.37,0.44,0,0,0,0,0,,0.21,0.04,-0.01,,-0.16
Joshua Rae,St Johnstone,Premiership,446,Goalkeeper,24,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,5.44,0,0,,,18.75,59,0.05,13.71,100,5.55,0.4,0,0,0,0,0,,0.14,0.07,,,0
Kasper Schmeichel,Celtic,Premiership,1089,Goalkeeper,38,0,0,,0,,,0,0,0,0,0,0.08,0.08,0,0,0,0.08,0,0,4.3,0,2.89,0,0,0,,28.01,95,0.51,21.32,100,3.26,0.17,0,0,0,0,0,,0.07,0.04,,,0.36
Craig Gordon,Hearts,Premiership,1085,Goalkeeper,42,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0.33,0.17,0,7.38,0.08,6.05,0,0,100,,16.83,70,0.21,12.52,100,4.14,0.17,0,0,0,0,0,,0.1,0.05,,,-0.21
Robby McCrorie,Kilmarnock,Premiership,793,Goalkeeper,27,0,0,,0,,,0,0,0,0.11,0,0,0,0,0,0,0.45,0.11,0,7.94,0.11,4.42,0,0,100,,15.66,49,0.16,9.98,100,9.03,1.59,0.11,0,0.11,0,0,,0.17,0.07,,,-0.2
Tawanda Jethro Maswanhise,Motherwell,Premiership,463,Left Attacking Midfielder,22,0.58,0.22,0.08,2.72,21,29,7,0.19,0.02,0.39,0.78,1.56,0.58,0.97,0.66,0,22.37,12.26,0,4.47,2.72,4.67,0.55,1.21,71,29,13.62,60,0.25,18.87,76,7.41,2.72,0.58,4.86,5.45,0,0.39,18,-0.01,0.1,-0.01,0.04,0.12
Corrie Ndaba,Kilmarnock,Premiership,896,Full Back,25,0.1,0.04,0.04,0.9,11,56,1,0,0,0.2,0.1,0.8,0.4,0.6,1.57,2.26,14.16,5.32,0.04,4.42,5.42,12.45,1.56,3.13,88,56,33.03,71,0.22,24.4,94,6.25,6.12,0.1,0.8,0.9,0,0,0,0.05,0.05,0.08,-0.03,0.16
Jefté,Rangers,Premiership,802,Full Back,21,0,0.02,0.04,0.45,0,0,0,0,0.06,0.56,0,3.03,1.8,1.35,2.28,4.31,12.01,6.06,0,2.69,4.27,9.66,3.51,5.79,67,45,49.29,83,0.71,48.39,91,4.98,11.23,1.24,0.9,2.13,0,1.12,43,0.13,0.11,0.03,-0.01,0.26
James Penrice,Hearts,Premiership,1006,Full Back,26,0,0.04,0.05,0.89,0,30,1,0,0.03,0.63,0,0.54,0.18,0.72,2.05,2.46,16.9,6.98,0.05,4.74,2.68,8.76,2.51,4.56,58,41,40.69,69,0.35,32.28,96,3.69,8.5,0.8,1.16,1.97,0,0.63,21,0.16,0.07,0.14,0.03,0.4
George Harmon,Ross County,Premiership,401,Left Back,24,0,0.01,0.07,0.22,0,0,0,0,0.15,2.02,0,0.22,0,1.35,1.31,1.55,9.42,2.91,0.06,2.24,2.91,7.62,0.2,1.51,50,45,30.27,75,0.12,24.22,92,3.71,8.52,0.45,0.45,0.9,0,0.67,38,0.35,0.02,0.17,0,0.54
Jack MacKenzie,Aberdeen,Premiership,1093,Full Back,24,0,0.03,0.03,0.74,0,11,1,0.08,0.03,0.41,0.08,0.82,0.25,1.07,1.25,2.97,10.13,5.1,0.02,2.47,3.21,9.3,2.37,3.61,73,29,34.33,77,0.49,31.94,92,3.91,9.06,0.91,1.73,2.63,0,0.66,31,0.09,0.09,0.01,-0.03,0.16
Greg Taylor,Celtic,Premiership,718,Full Back,27,0,0.04,0.06,0.63,0,20,0,0.38,0.11,1.38,0.38,0.63,0.38,0.38,1.87,0.65,10.52,2.88,0.02,2.51,3.26,9.15,3.37,5.25,62,40,76.8,85,1.39,62.14,98,2.93,23.3,1.63,2.76,4.38,0.25,0.13,8,0.05,0.06,0.02,-0.01,0.12
Jordan Obita,Hibernian,Premiership,1201,Full Back,31,0,0,0.02,0.22,0,33,0,0.15,0.12,0.82,0.15,0.6,0.22,0.15,1.44,3.55,9.96,4.27,0.01,2.92,3.3,10.64,1.02,2.46,60,67,39.86,71,0.32,30.79,97,5.17,9.96,0.75,0.45,1.2,0.07,0.67,23,0.2,0.05,-0.02,0,0.22
Álex Valle,Celtic,Premiership,323,Left Back,21,0,0.05,0.04,1.12,0,25,1,0.56,0.3,2.23,0.56,2.51,1.39,0.56,1.55,4.1,7.81,2.23,0.04,1.67,5.86,11.44,1.56,3.11,,50,80.91,87,0.86,73.66,97,4.86,27.34,1.39,4.18,5.58,0,0.84,30,0.23,0.13,0.03,-0.03,0.36
Stephen Kingsley,Hearts,Premiership,516,Full Back,30,0,0.02,0.11,0.17,0,0,0,0,0.02,0.17,0,0.87,0.17,0.7,1.52,3.63,10.81,5.93,0.06,4.71,2.79,8.89,1.85,3.37,83,35,47.75,82,0.52,38.52,95,4.03,9.06,0.87,1.05,1.92,0,0,0,0.13,0.06,0.03,-0.03,0.18
Ross Graham,Dundee United,Premiership,554,Centre Back,24,0.16,0.06,0.07,0.81,20,40,0,0,0.01,0.16,0.16,0.33,0.16,0,0.69,3.61,9.75,4.71,0.06,2.28,2.44,12.68,0.85,1.55,100,75,37.72,60,0.27,24.87,99,4.7,4.55,0.33,2.28,2.6,0,0.49,15,0.27,0.03,-0.08,0.05,0.27
Warren O''Hora,Hibernian,Premiership,1148,Centre Back,26,0.08,0.04,0.08,0.47,17,33,0,0,0.04,0.39,0.08,0.24,0.16,0.16,1.76,4.63,7.53,3.61,0.1,2.82,1.72,11.53,0.8,2.55,70,63,37.95,81,0.32,25.48,99,4.53,2.43,0.24,1.49,1.72,0.08,0.08,100,0.04,0.03,0.07,0.02,0.16
Billy Koumetio,Dundee,Premiership,703,Centre Back,22,0,0.03,0.04,0.64,0,20,1,0,0.04,0.9,0,0.77,0.38,0.64,2.5,5.32,9.6,3.07,0.07,4.22,2.43,12.28,1.35,3.85,50,60,32.24,74,0.32,22.52,93,6.46,4.35,0.51,2.81,3.33,0,0.38,100,0,0,0.02,-0.02,-0.01
Dan Casey,Motherwell,Premiership,833,Centre Back,27,0.11,0.16,0.1,1.51,7,29,0,0.11,0.04,0.22,0.22,0,0,0.32,1.13,4.05,8.75,4.97,0.07,3.02,2.38,9.07,0.94,2.07,90,69,33.91,76,0.42,24.63,98,3.68,2.81,0.22,3.67,3.89,0.22,0.11,11,0.05,0.04,0.06,-0.1,0.06
Kofi Balmer,Motherwell,Premiership,537,Centre Back,24,0,0,,0,,,0,0.17,0.1,1,0.17,0,0,0,0.24,3.3,13.9,7.2,0.11,5.69,0.84,7.87,0.91,1.15,67,32,30.81,64,0.17,23.28,99,4.59,2.51,0.17,0.5,0.67,0.17,0.5,18,0.26,0.02,0.07,,0.35
Kye Rowles,Hearts,Premiership,1086,Centre Back,26,0,0.03,0.1,0.33,0,0,0,0,0,0.08,0,0.08,0,0.17,2.56,5.47,11.93,5.22,0.11,4.89,2.82,14,1.25,3.81,86,46,62.63,82,0.57,45.23,99,4.65,5.8,0.66,1.41,2.07,0.17,0.08,50,0.08,0.07,0.14,-0.04,0.26
Kyle Cameron,St Johnstone,Premiership,950,Centre Back,28,0,0,0.01,0.09,0,0,0,0,0,0,0,0.19,0.09,0.09,1.04,6.17,8.62,4.36,0.07,4.55,1.61,11.47,1.36,2.4,50,56,45.3,81,0.17,32.32,99,5.97,4.17,0.47,0.28,0.76,0,0.09,50,0.08,0.05,0.05,-0.01,0.18
Richard Taylor,St Mirren,Premiership,846,Centre Back,24,0,0.06,0.09,0.64,0,17,0,0,0.03,0.32,0,0.64,0.43,0.53,0.86,4.17,12.34,6.38,0.12,4.58,2.02,11.28,0.91,1.77,78,54,34.69,78,0.35,27.98,95,6.69,5.32,0.43,1.49,1.92,0.11,0.32,60,0.08,0.06,0.09,-0.03,0.2
Ryan David Leak,Ross County,Premiership,930,Centre Back,27,0,0.03,0.06,0.48,0,20,0,0,0.01,0.19,0,0.1,0,0.48,1.21,3.89,13.64,8.13,0.05,2.81,1.94,11.32,1.37,2.58,63,65,33.48,67,0.16,21.87,97,4.58,3,0,2.03,2.03,0,0,0,0.06,0.02,0.14,-0.05,0.16
Liam Scales,Celtic,Premiership,1012,Centre Back,26,0.09,0.04,0.07,0.62,14,14,0,0,0.01,0.27,0.09,0.36,0.18,0.09,1.8,8.8,9.7,4.54,0.09,3.82,3.2,16.46,2.44,4.24,78,69,98.46,92,1.1,79.87,99,4.63,13.16,0.44,1.25,1.69,0.18,0,0,0.13,0.09,0,-0.01,0.2
Robin Pröpper,Rangers,Premiership,586,Centre Back,31,0,0.09,0.09,0.92,0,0,0,0,0.01,0.31,0,0.15,0.15,0.61,1.28,4.57,11.36,5.53,0.08,4.91,2.92,13.51,3.04,4.32,67,60,80.6,92,0.85,66.01,99,4.48,4.76,0.15,1.69,1.84,0.46,0,0,0.09,0.08,-0.13,-0.11,-0.06
