Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Kim Kang-San,Daegu,K League 1,865,Centre Back,26,0,0.03,0.08,0.42,0,25,0,,0,0.01,0.31,0.31,0,0.04,0.73,0.52,0.31,0.52,1.57,2.9,10.3,4.58,0.07,4.99,3.02,11.75,1.19,2.76,70,70,8.11,5.51,1.77,0.1,38.17,82,71,2.08,0.2,0.21,27.77,96,5.14,3.54,0.1,0.1,0,0.1,1.04,1.14,0,0,0,,0.1,25,0.01,0.04,0.02,-0.03,,0.04
Kweon Hang-Jin,Incheon United,K League 1,649,Centre Back,36,0,0.05,0.1,0.55,0,0,0,,0,0.04,0.14,0.14,0,0.09,0.69,0,0,0,0.64,2.46,14.13,7.48,0.06,5.96,1.8,9.56,1.52,2.16,75,54,11.22,11.85,2.08,0.42,46.56,92,72,0.97,0.16,0.25,34.37,100,5.38,1.11,0,0,0,0.28,1.66,1.66,0,,0,,0.28,18,0.04,0.05,0.05,-0.07,,0.08
Matej Jonjić,Incheon United,K League 1,2635,Centre Back,33,0.03,0.05,0.12,0.44,8,23,0,,0,0.01,0.2,0.2,0.03,0.06,0.65,0.07,0.07,0.03,1.44,5.14,9.39,5.63,0.09,5.23,1.95,10.07,1.42,2.86,80,75,7.38,7.01,0.96,0.2,54.68,89,63,2.32,0.24,0.27,41.49,100,4.65,2.36,0.1,0.1,0,0.03,0.99,1.09,0,0,0,,0.03,22,0.06,0.05,0,-0.04,,0.07
Mun Ji-Hwan,Incheon United,K League 1,1405,Defensive Midfielder,30,0.06,0.07,0.06,1.28,5,25,1,,0,0.02,0.51,0.51,0.06,0.09,1.79,0.38,0.38,0.77,1.6,1.4,18.71,9.93,0.02,4.93,6.41,12.43,1.95,3.56,67,56,15.31,16.05,3.2,0.38,48.05,85,67,4.87,0.36,0.39,36.91,96,4.08,10,0.32,0.32,0,0.06,1.22,1.54,0,0,0.06,33,0.06,17,0.02,0.07,0.05,-0.05,,0.09
Son Jun-Ho,Suwon FC,K League 1,711,Defensive Midfielder,32,0.13,0.06,0.06,0.89,14,29,1,,0.13,0.05,0.76,0.76,0.25,0.1,1.65,0.51,0.38,0.25,1.5,1.6,27.22,16.97,0,6.08,5.32,12.03,2.61,4.11,50,29,22.79,20.72,4.31,0.38,64.33,90,76,7.34,0.54,0.59,49.13,98,4.26,11.14,1.27,0.89,0.38,0.13,0.63,1.52,0.25,0,0,,0.13,14,0.09,0.07,-0.04,-0.01,,0.1
Yoon Bit-Garam,Suwon FC,K League 1,3004,Defensive Midfielder,34,0.03,0.13,0.07,1.98,2,33,1,,0.06,0.09,1.59,1.05,0.09,0.22,3.56,0.63,0.39,0.63,1.34,1.2,12.82,6.8,0.03,3.36,4.16,8.69,1.23,2.56,39,53,11.17,10.98,2.16,0.27,55.72,85,62,7.34,0.41,0.49,45.3,96,4.45,14.41,1.35,0.54,0.81,0.21,2.7,3.24,0.09,16,0.27,24,0.48,17,0.07,0.08,0.03,-0.05,,0.14
Cesinha,Daegu,K League 1,2677,Centre Forward,35,0.3,0.25,0.07,3.8,8,30,4,67,0.3,0.24,2.22,1.51,0.61,0.49,6.02,3.16,1.75,2.93,0.43,0.15,17.15,8.24,0.01,2.32,4.2,6.46,0.5,0.94,47,32,15.7,11.92,2.99,0.24,35.44,72,53,8.37,0.57,0.74,42.57,84,6.53,14.56,2.62,1.61,1.01,0.27,3.33,4.94,0.13,26,0.98,33,0.4,11,0.12,0.13,0.02,-0.01,,0.26
Cheon Seong-hoon,Daejeon Hana Citizen FC,K League 1,687,Centre Forward,24,0.13,0.2,0.1,2.1,6,25,5,100,0,0.03,0.52,0.52,0.13,0.24,2.62,1.05,0.52,1.18,0.25,0.36,12.84,5.5,0,2.23,3.01,4.72,0.66,0.92,0,36,11.53,10.34,3.14,0.39,15.46,75,67,0.79,0.32,0.37,14.93,83,4.76,5.5,0.13,0.13,0,0.52,5.37,5.5,0,0,0,0,1.57,9,-0.06,0.01,0.01,0,,-0.05
Edgar Silva,Daegu,K League 1,1376,Centre Forward,37,0.33,0.35,0.1,3.4,10,37,5,,0.07,0.08,1.31,1.31,0.39,0.44,4.71,1.64,0.72,2.29,0.14,1.22,16.1,6.87,0.02,1.57,2.75,4.38,0.18,0.32,0,53,14.26,10.25,2.88,0.07,21.13,65,60,1.11,0.44,0.6,16.75,72,3.37,7,0.52,0.52,0,0.46,9.09,9.62,0.07,0,0.13,100,1.05,17,-0.08,-0.04,0.04,-0.01,,-0.09
Franko Kovačević,Gangwon,K League 1,1040,Centre Forward,25,0.35,0.26,0.1,2.51,14,34,6,0,0,0.04,0.43,0.43,0.35,0.3,2.94,0.87,0.52,1.56,0.5,0.89,15.15,6.06,0.03,2.77,2.25,3.9,0.78,1.28,67,33,13.5,15.42,2.86,0.35,17.49,70,20,1.13,0.27,0.48,17.92,81,4.7,5.19,0.43,0.43,0,0.61,6.23,6.67,0,20,0.35,67,0.78,11,0.01,0.02,0,0.09,,0.12
