Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Lee O'Connor,Tranmere Rovers,League Two,1188,Defensive Midfielder,24,0,0.02,0.04,0.45,0,17,1,,0,0.02,0.45,0.45,0,0.04,0.91,0.38,0.3,0.45,1,1.47,17.2,8.94,0.02,3.33,5.76,12.05,2.51,3.52,52,46,13.41,12.68,2.65,0.15,33.42,71,53,2.8,0.19,0.22,24.17,97,4.5,8.26,0.45,0.45,0,0.08,0.61,1.06,0,33,0.23,30,0.3,29,0.05,0.04,0.07,-0.02,,0.14
Liam Kinsella,Cheltenham Town,League Two,746,Defensive Midfielder,29,0,0,0.03,0.12,0,0,0,,0.12,0.01,0.24,0.24,0.12,0.02,0.36,0.12,0.12,0.24,1.72,1.86,17.97,9.04,0.05,3.01,7.84,12.3,0.86,2.58,54,63,15.07,10.11,3.5,0.12,24.96,65,27,3.01,0.23,0.23,14.59,94,4.06,7.72,0.24,0.24,0,0,0.6,0.84,0,50,0.24,29,0,41,0.02,0.02,0.08,-0.01,,0.12
Max Sanders,Crewe Alexandra,League Two,1003,Defensive Midfielder,26,0,0.04,0.05,0.81,0,11,0,,0,0.04,0.72,0.45,0,0.07,1.53,0.72,0.45,1.44,0.93,1.75,20.9,11.39,0.01,4.31,5.47,12.65,2.59,3.52,62,39,16.87,16.31,4.31,0.9,42.97,76,47,3.59,0.24,0.26,36.33,94,4.74,8.52,0.99,0.36,0.63,0.09,1.08,1.44,0,18,0.27,25,0.18,20,0.03,0.1,0.05,-0.03,,0.13
Ollie Banks,Chesterfield,League Two,972,Defensive Midfielder,32,0,0.05,0.04,1.3,0,14,1,,0.19,0.16,1.02,0.83,0.19,0.21,2.32,1.02,0.74,0.74,1.01,2.22,13.15,5.56,0.03,3.52,3.52,9.45,2.9,3.92,47,56,10.37,15.59,2.59,0.37,59.82,80,67,7.96,0.56,0.65,53.43,97,4.1,16.39,1.57,1.3,0.28,0,1.85,3.15,0.19,24,0.46,29,0.28,20,0.13,0.05,0.04,-0.06,,0.17
Ossama Ashley,Salford City,League Two,1017,Defensive Midfielder,25,0,0.05,0.06,0.88,0,30,1,,0,0.01,0.27,0.27,0,0.07,1.15,1.95,1.06,1.5,2.42,1.74,19.73,8.5,0.04,5.04,8.05,16.81,2.87,5.29,40,64,15.31,16.3,4.25,0.35,32.65,72,62,2.83,0.29,0.32,25.22,86,4.36,7.08,0.35,0.35,0,0.27,1.86,2.21,0,25,0.09,33,0.35,25,0,0.05,0.03,0,,0.09
Owen John Edward Bailey,Doncaster Rovers,League Two,1458,Defensive Midfielder,26,0.06,0.13,0.11,1.23,5,10,1,,0.06,0.06,1.11,1.11,0.12,0.19,2.35,0.93,0.31,0.8,1.13,1.85,16.24,9.63,0.09,3.27,5.06,12.1,1.58,2.71,43,55,14.02,14.15,2.53,0.31,40.26,82,72,3.7,0.51,0.64,31.49,94,4.43,7.47,0.74,0.74,0,0.31,2.84,3.58,0,25,0.25,50,0.37,23,0.05,0.03,0.05,-0.07,,0.06
Robbie Gotts,Barrow,League Two,741,Defensive Midfielder,25,0,0.03,0.04,0.73,0,33,1,,0,0.06,1.34,0.85,0,0.09,2.06,0.12,0.12,1.34,1.09,1.02,18.58,9.35,0.05,4.61,5.71,11.54,1.33,2.42,67,35,16.64,12.78,4.37,0.36,29.15,71,17,2.79,0.14,0.15,24.65,93,4.95,8.02,0.85,0.49,0.36,0,0.85,1.34,0,14,0.24,22,0.36,25,0,0.06,0.02,-0.02,,0.05
Robbie McKenzie,Gillingham,League Two,694,Defensive Midfielder,26,0.26,0.1,0.11,0.91,29,29,1,,0.13,0.08,0.78,0.78,0.39,0.18,1.69,0.13,0.13,0.91,1.25,1.95,13.74,6.48,0.04,3.63,4.15,8.69,1.43,2.67,50,70,11.15,8.38,1.56,0,24.37,71,44,1.81,0.21,0.37,17.89,93,5.26,2.72,0.26,0.13,0.13,0.13,1.94,2.07,0.13,50,0.13,25,0.13,33,0.03,0.05,0.08,0.1,,0.26
Sam Foley,Barrow,League Two,679,Defensive Midfielder,38,0.13,0.06,0.07,0.93,14,43,2,,0,0.02,0.53,0.53,0.13,0.08,1.46,1.99,0.93,1.32,1.72,1.2,14.17,5.7,0.03,3.58,7.55,15.1,2.31,4.03,57,50,11.92,13.41,3.18,0.13,31.66,73,38,4.24,0.2,0.26,29.41,88,5.62,7.68,0.13,0.13,0,0.26,2.12,2.25,0.13,0,0,0,0.26,29,-0.01,0.11,-0.02,0.04,,0.12
Séamus Conneely,Accrington Stanley,League Two,779,Defensive Midfielder,36,0,0.03,0.03,0.81,0,14,1,,0,0.02,0.46,0.46,0,0.05,1.27,0.23,0,0.58,2.28,2.66,14.67,6.93,0.01,4.04,8.43,16.87,0.87,3.15,56,70,12.71,11.18,3.93,0.46,34.43,73,42,3.24,0.23,0.25,19.99,94,3.64,6.47,0.46,0.46,0,0,0.58,1.04,0.12,25,0.12,100,0.12,35,0.06,0.06,0.04,-0.04,,0.12
