Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Assists,xG Assisted,Key Passes,Scoring Contribution,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,OP Passes,Passing%,xGBuildup,Carries,Carry%,Carry Length,OP F3 Passes,OP Passes Into Box,Touches In Box,PinTin,Throughballs,Successful Crosses,Crossing%,Pass OBV,D&C OBV,DA OBV,Shot OBV,OBV
Arvid Brorsson,Mjällby,Allsvenskan,2149,Centre Back,25,0.08,0.08,0.13,0.63,13,40,0,0,0.04,0.38,0.08,0.04,0.04,0.34,1.7,5.46,13.74,6.95,0.1,3.85,2.43,11.48,1.35,3.05,57,68,57.3,83,0.4,43.52,98,3.39,3.98,0.17,2.64,2.81,0.04,0.08,50,0.04,0.02,0.08,0,0.14
Gustav Niklas Henriksson,Elfsborg,Allsvenskan,1872,Centre Back,26,0,0.03,0.07,0.48,0,20,0,0,0,0,0,0.1,0.05,0.14,0.54,2.85,9.76,5.53,0.12,3.37,1.15,7.6,0.77,1.31,67,66,39.18,91,0.47,30.38,99,3.83,1.83,0.05,0.91,0.96,0,0,,0.03,0.02,0.04,-0.01,0.07
Frédéric Nsabiyumva,Västerås SK,Allsvenskan,2551,Centre Back,29,0,0.04,0.06,0.6,0,29,0,0,0,0.07,0,0.39,0.21,0.07,1.18,7.2,9.63,4.45,0.13,4.52,2.12,11.22,1.36,2.54,61,68,43.75,88,0.42,32.64,98,3.99,2.96,0.04,1.94,1.98,0,0.04,100,0.01,0.02,0.04,-0.02,0.04
Harun Ibrahim,GAIS,Allsvenskan,2071,Defensive Midfielder,21,0,0.02,0.04,0.56,0,23,0,0.04,0.04,0.74,0.04,1.56,0.52,1.56,1.39,1.65,23.16,12.13,0.01,5.69,4.61,11.04,1.81,3.19,53,42,40.9,87,0.43,37.94,91,5.84,10.56,0.74,0.74,1.48,0.04,0.17,27,0.01,0.07,0.06,-0.02,0.12
Joackim Åberg,GAIS,Allsvenskan,1608,Defensive Midfielder,26,0,0.03,0.05,0.56,0,20,0,0,0.04,0.67,0,0.34,0.11,0.34,0.79,0.55,12.81,6.16,0.03,2.74,5.65,11.19,1.1,1.89,48,53,47.45,88,0.39,37.15,97,4.41,11.86,0.62,1.18,1.79,0,0.17,100,0.01,0.07,0.03,-0.03,0.08
Simon Gustafson,Häcken,Allsvenskan,2724,Defensive Midfielder,29,0.13,0.06,0.08,0.76,17,30,0,0.1,0.11,1.68,0.23,0.69,0.4,1.29,1.79,1.85,20.98,12.39,0.03,6.01,4.86,9.65,3.39,5.18,49,62,68.51,87,0.59,57.94,95,4.79,21.74,1.49,3.27,4.76,0.07,0.17,26,0.05,0.07,0.07,0.04,0.22
Samuel Ruben Leach Holm,Häcken,Allsvenskan,671,Defensive Midfielder,27,0.13,0.04,0.03,1.48,9,27,1,0.13,0.06,1.07,0.27,0.54,0.13,0.94,0.96,2.06,18.78,9.39,0.01,6.71,3.76,8.59,3.38,4.34,56,44,79.14,86,0.43,68.14,97,3.51,20.12,0.8,0.54,1.34,0,0.13,13,-0.02,0.04,0.05,0,0.07
Erik Botheim,Malmö FF,Allsvenskan,2293,Centre Forward,24,0.43,0.37,0.16,2.35,18,43,4,0.2,0.13,1.33,0.63,0.86,0.47,1.73,0.1,0.17,16.13,6.71,0.03,2.94,2.67,4.08,0.75,0.86,50,40,23.35,82,0.72,21.04,84,3.37,9.11,0.51,7.65,8.16,0.08,0.2,50,-0.05,0.01,0.02,0.07,0.05
Isaac Kiese Thelin,Malmö FF,Allsvenskan,1988,Centre Forward,32,0.68,0.56,0.17,3.21,21,46,7,0.09,0.1,0.63,0.77,0.45,0.14,1.54,0.15,1.97,17.02,7.06,0.01,3.3,2.26,3.35,0.86,1.01,33,48,13.62,64,0.44,12,71,3.55,3.67,0.41,9.1,9.51,0.14,0.05,25,-0.04,-0.06,0.02,0.08,-0.01
Deniz Hümmet,Djurgården,Allsvenskan,2487,Centre Forward,28,0.47,0.25,0.11,2.24,21,45,6,0.11,0.05,0.54,0.58,1.3,0.65,1.12,0.36,0.75,18.74,11,0.02,3.26,2.35,4.34,0.62,0.98,31,29,14.54,82,0.27,15.52,82,4.67,6.22,0.33,4.81,5.14,0,0.07,17,0.02,-0.01,0.02,0.06,0.1
Yousef Salech,Sirius,Allsvenskan,2446,Centre Forward,22,0.4,0.48,0.17,2.76,15,35,7,0.11,0.06,0.88,0.52,0.7,0.4,1.4,0.15,2.13,22.33,10.85,0.02,3.13,1.73,3.05,0.49,0.64,33,58,13.47,62,0.44,13.54,75,5.07,3.31,0.29,6.66,6.95,0.15,0.07,29,-0.06,0.02,0.01,0.01,-0.02
Mel Yannick Joel Agnero,Halmstad,Allsvenskan,777,Centre Forward,21,0.46,0.33,0.14,2.43,19,33,6,0,0.11,0.46,0.46,3.82,1.51,2.67,0.03,0.35,27.69,11.59,0,1.85,1.97,3.24,0.28,0.31,0,37,11.82,69,0.43,21.9,54,5.9,3.94,0.12,5.33,5.45,0,0.35,75,0.04,-0.03,0.02,0.12,0.15
Alexander Ahl-Holmström,GAIS,Allsvenskan,2094,Centre Forward,25,0.43,0.37,0.13,2.75,16,34,9,0.04,0.03,0.39,0.47,0.47,0.21,1.29,0.03,1.1,12.38,5.63,0.02,1.72,1.93,3.22,0.14,0.17,25,53,11.56,65,0.34,9.8,71,5.5,3.22,0.34,5.67,6.02,0,0.09,33,-0.03,0,0.02,0.02,0.01
Jacob Bergström,Mjällby,Allsvenskan,2376,Centre Forward,29,0.3,0.36,0.22,1.63,19,49,4,0.04,0.03,0.45,0.34,0.91,0.45,1.48,0.16,0.41,25.98,12.61,0.01,3.71,2.05,3.94,0.59,0.76,50,42,15.61,72,0.42,14.17,71,4.51,3.26,0.19,4.51,4.7,0,0.04,50,-0.04,-0.01,0.04,0.02,0.01
Ioannis Pittas,AIK,Allsvenskan,2817,Centre Forward,28,0.45,0.37,0.11,3.23,14,39,8,0.06,0.04,0.54,0.51,1.53,0.73,2.27,0.33,0.6,27.47,13.16,0,3.67,3.13,5.14,1.08,1.42,26,21,13.16,77,0.41,17.83,73,7.08,5.43,0.32,6.42,6.74,0,0.13,22,-0.04,0.04,0.02,0.05,0.08
Jusef Erabi,Hammarby,Allsvenskan,1800,Centre Forward,21,0.4,0.29,0.13,2.15,19,40,5,0,0.03,0.35,0.4,1.45,0.75,2.95,0.23,1.67,18.3,9.6,0.02,2.75,2.05,3.35,0.43,0.66,25,24,12.7,80,0.23,17.45,71,5.68,4.15,0.1,6,6.1,0,0,0,-0.07,0.02,0.01,0.1,0.06
Deniz Gül,Hammarby,Allsvenskan,1014,Centre Forward,20,0.27,0.17,0.07,2.31,12,31,6,0.09,0.13,0.8,0.36,2.4,1.33,2.13,0.38,0.99,17.76,7.64,0.01,2.84,2.22,3.02,1.47,1.84,86,48,16.69,77,0.38,23.8,75,7.95,7.1,0.44,4.53,4.97,0.09,0.09,25,-0.04,0.13,0.02,0.05,0.15
Per Frick,Elfsborg,Allsvenskan,620,Centre Forward,32,0.44,0.44,0.19,2.32,19,38,4,0,0.05,0.87,0.44,0,0,0.58,0.32,1.24,32.39,18.01,0.04,4.94,3.34,4.79,1.06,1.38,22,46,15.83,66,0.63,13.07,80,3.56,5.37,0.44,7.26,7.7,0,0.15,100,-0.11,-0.03,0.08,-0.04,-0.09
Michael Baidoo,Elfsborg,Allsvenskan,2265,Centre Forward,25,0.36,0.15,0.1,1.55,23,46,2,0.16,0.12,1.39,0.52,1.55,0.91,1.07,0.31,0.4,22.25,10.97,0.03,3.1,4.21,6.24,0.83,1.14,24,29,28.61,83,0.51,29.24,89,5.53,11.6,1.59,3.77,5.36,0.08,0.08,18,-0.02,0.05,0.03,0.08,0.13
Wolji Jalal Abdulai,Elfsborg,Allsvenskan,1411,Centre Forward,19,0.32,0.33,0.13,2.49,13,28,7,0,0.04,0.64,0.32,2.04,1.15,1.91,0.15,0.34,27.74,13.58,0.01,3,2.93,4.21,0.8,0.96,50,35,12.05,54,0.4,18.3,70,8.46,4.4,0.77,6.19,6.95,0.19,0.51,33,-0.07,0.03,-0.02,-0.03,-0.08
Ali Youssef,Häcken,Allsvenskan,1428,Centre Forward,24,0.5,0.32,0.09,3.66,14,36,10,0.06,0.02,0.38,0.57,2.4,1.26,1.45,0.26,0.32,19.16,8.82,0.01,2.96,1.64,3.21,0.88,1.13,25,35,11.28,85,0.27,19.16,76,8.94,5.55,0.25,5.99,6.24,0,0.25,100,0,0.05,0.03,0.12,0.21
Nikola Karadjordje Vasic,Brommapojkarna,Allsvenskan,2467,Centre Forward,33,0.62,0.43,0.14,3.14,20,41,9,0.11,0.05,0.55,0.73,0.47,0.29,0.77,0.13,0.67,20.86,10.94,0.01,3.28,2.48,4.34,0.43,0.56,38,55,12.8,67,0.43,11.6,81,4.9,3.47,0.22,7,7.22,0,0.18,50,-0.05,0.01,0.01,0.02,-0.01
Srđan Hrstić,Häcken,Allsvenskan,997,Centre Forward,21,0.45,0.21,0.13,1.63,28,39,5,0,0.08,0.9,0.45,0.45,0.18,1.45,0.35,1.36,23.48,12.1,0.02,3.79,2.62,3.79,1.02,1.38,100,43,11.92,73,0.36,12.37,74,4.46,3.61,0.36,4.52,4.88,0.09,0,0,0,-0.05,0.06,0.1,0.1
Edward Chilufya,Häcken,Allsvenskan,633,Centre Forward,25,0.14,0.26,0.15,1.71,8,25,5,0,0.03,0.57,0.14,0.71,0.28,2.28,0,0.14,28.87,17.49,0.01,2.99,2.84,4.41,0.72,0.72,67,29,11.52,75,0.22,14.22,67,8.36,3.98,0.14,4.69,4.84,0,0,0,0,-0.03,0.01,-0.07,-0.09
Tim Prica,Norrköping,Allsvenskan,1559,Centre Forward,22,0.23,0.32,0.1,3.29,7,28,8,0.17,0.16,0.98,0.4,1.56,0.58,2.02,0.15,0.79,31.81,19,0,3.58,2.94,4.45,0.86,1.01,19,52,13.39,60,0.35,16.17,76,5.54,4.56,0.58,5.6,6.18,0.06,0.75,48,0.13,0.06,0.01,-0.11,0.09
Christoffer Nyman,Norrköping,Allsvenskan,2198,Centre Forward,32,0.45,0.29,0.13,2.29,20,43,6,0.04,0.08,0.53,0.49,0.78,0.49,1.19,0.25,1.18,25.05,13.84,0.01,3.48,2.7,4.01,0.65,0.9,40,50,15.8,66,0.4,14.16,82,5.93,5.2,0.25,5.81,6.06,0.08,0.16,67,-0.03,0.01,0.01,0.04,0.04
Gustaf Norlin,IFK Göteborg,Allsvenskan,1721,Centre Forward,27,0.21,0.1,0.13,0.78,27,53,2,0,0.04,0.73,0.21,0.73,0.31,0.89,0.6,0.91,20.65,10.98,0,3.61,2.56,4.34,1.28,1.87,53,38,18.67,68,0.35,17.15,86,4.93,6.95,0.63,4.23,4.86,0.05,0.31,22,0,0.03,0.03,-0.03,0.04
Laurs Skjellerup,IFK Göteborg,Allsvenskan,1371,Centre Forward,22,0.26,0.3,0.16,1.9,14,45,5,0,0.04,0.46,0.26,0.59,0.26,0.79,0.12,0.69,18.26,7.22,0.01,2.63,2.69,4.14,0.18,0.3,50,54,13.26,65,0.46,12.21,69,5.25,4.47,0.46,3.94,4.4,0,0.2,43,-0.01,-0.02,0,0.02,-0.01
Dino Islamovic,Kalmar,Allsvenskan,2453,Centre Forward,30,0.44,0.32,0.12,2.64,17,32,4,0.04,0.07,0.77,0.48,1.28,0.66,1.1,0.25,1.32,25.54,14.2,0.02,3.93,2.2,3.52,1.26,1.5,50,53,21.9,72,0.47,20.03,84,4.12,5.98,0.33,6.49,6.82,0.04,0.07,18,-0.05,0.01,0,0.02,-0.02
Johnbosco Samuel Kalu,Värnamo,Allsvenskan,1590,Centre Forward,27,0.4,0.46,0.17,2.66,15,43,6,0.06,0.1,1.08,0.45,2.89,1.75,2.66,0.39,0.23,32.6,16.92,0.01,4.53,3.4,4.87,1.35,1.75,43,29,15.45,67,0.59,21.9,71,6.47,4.75,0.68,6.51,7.19,0.06,0.28,24,-0.01,0.04,0.04,0.13,0.21
Ibrahim Yalatif Diabate,Västerås SK,Allsvenskan,927,Centre Forward,25,0.1,0.34,0.12,2.91,3,17,7,0,0.02,0.68,0.1,1.07,0.29,1.94,0.23,0.64,28.64,15.63,0.02,4.95,2.52,4.27,0.58,0.81,40,26,15.63,79,0.4,17.38,71,4.99,7.86,0.29,5.63,5.92,0,0.1,100,-0.06,-0.09,0.04,-0.28,-0.39
Viktor Granath,Västerås SK,Allsvenskan,1257,Centre Forward,30,0.36,0.24,0.15,1.65,22,48,5,0.07,0.03,0.57,0.43,0.86,0.5,0.86,0.12,1.24,23.26,10.81,0.02,3.51,1.93,3.58,0.5,0.62,25,37,13.6,62,0.38,11.45,77,3.63,4.08,0.07,5.51,5.58,0,0,0,-0.12,-0.03,-0.04,0.07,-0.13
