Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Assists,xG Assisted,Key Passes,Scoring Contribution,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,OP Passes,Passing%,xGBuildup,Carries,Carry%,Carry Length,OP F3 Passes,OP Passes Into Box,Touches In Box,PinTin,Throughballs,Successful Crosses,Crossing%,Pass OBV,D&C OBV,DA OBV,Shot OBV,OBV
Samuel Brolin,Kalmar,Allsvenskan,2348,Goalkeeper,24,0,0,,0,,,0,0,0,0.04,0,0,0,0,0,0,0.27,0.15,0,8.7,0,4.14,0,0,67,,25.03,72,0.13,19.24,100,4.74,0.42,0,0,0,0,0,,0.09,0.08,-0.03,,-0.09
Lucas Hägg-Johansson,Brommapojkarna,Allsvenskan,774,Goalkeeper,30,0,0,,0,,,0,0,0,0,0,0,0,0,0,0.15,0.12,0.12,0,8.03,0,2.21,0,0,,,16.99,73,0.24,13.26,100,4.26,0.7,0,0,0,0,0,,0.08,0.05,0,,-0.3
David Mitov-Nilsson,Norrköping,Allsvenskan,1768,Goalkeeper,33,0,0,,0,,,0,0.05,0.01,0.05,0.05,0.05,0.05,0,0,0,0.1,0,0,6.97,0,4.07,0,0,,,18.27,68,0.17,14.81,100,5.97,0.71,0,0,0,0,0,,0.08,0.07,,,0.06
Filip Sidklev,Brommapojkarna,Allsvenskan,1167,Goalkeeper,19,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0.15,0.08,0,8.02,0,3.62,0,0,100,,20.36,72,0.2,15.35,100,4.89,0.39,0,0,0,0,0,,0.09,0.07,-0.06,,-0.23
Marcus Bundgaard Sorensen,Elfsborg,Allsvenskan,1247,Goalkeeper,23,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,3.9,0,0,,,28.01,64,0.14,23.1,100,4.91,0.65,0,0,0,0,0,,0.11,0.06,,,-0.04
Peter Abrahamsson,Häcken,Allsvenskan,1181,Goalkeeper,36,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69,0,3.89,0,0,,,24.31,82,0.19,19.43,100,3.94,0,0,0,0,0,0,,0.06,0.06,,,0.04
Imam Jagne,Mjällby,Allsvenskan,1416,Attacking Midfielder,21,0.19,0.11,0.06,1.97,10,29,3,0.25,0.08,0.89,0.44,2.86,1.46,3.11,0.66,0.67,22.56,10.1,0.02,3.37,4.07,7.69,1.17,1.83,27,33,27.83,74,0.39,34.7,79,6.87,8.77,1.14,3.05,4.19,0.25,0.25,19,0.01,0.08,0.02,-0.07,0.03
Alexander Johansson,Mjällby,Allsvenskan,1135,Attacking Midfielder,29,0.08,0.16,0.08,1.98,4,20,3,0.24,0.12,0.95,0.32,1.98,0.87,1.59,0.69,0.77,18.23,7.37,0.02,2.77,3.88,6.1,1.35,2.04,27,36,24.02,66,0.47,27.51,82,5.02,9.04,0.79,4.28,5.07,0,0.55,21,0.14,0.12,0.02,-0.04,0.24
Abdoulie Manneh,Mjällby,Allsvenskan,832,Attacking Midfielder,20,0.22,0.46,0.11,4.33,5,35,4,0.11,0.12,1.62,0.32,2.16,0.97,2.49,0.55,0.37,31.17,14.5,0.02,4.54,5.09,8.55,2.05,2.6,44,29,37.23,82,0.72,39.5,85,5.8,15.8,0.54,6.17,6.71,0.22,0.11,20,-0.01,0.08,0.1,-0.06,0.11
Keita Kosugi,Djurgården,Allsvenskan,1124,Full Back,18,0.08,0.03,0.04,0.8,10,30,1,0.08,0.03,0.56,0.16,1.36,0.56,1.52,1.21,2.16,17.46,8.25,0.01,5.05,4.33,10.41,1.86,3.08,56,68,39.65,80,0.34,36.6,91,5,10.01,0.48,1.28,1.76,0.08,0.32,24,0.12,0.06,0.04,-0.02,0.2
Robin Wendin Thomasson,GAIS,Allsvenskan,1741,Full Back,25,0,0.03,0.03,0.93,0,22,1,0.36,0.16,1.71,0.36,1.14,0.52,0.41,1.08,1.83,13.03,6.77,0.04,3.67,3.41,8.01,1.4,2.47,48,56,38.61,74,0.38,34.01,96,5.61,9.1,0.67,0.31,0.98,0.1,0.67,38,0.19,0.07,0.09,-0.02,0.33
Axel Björnström,AIK,Allsvenskan,1494,Full Back,29,0,0.02,0.03,0.6,0,10,0,0,0.03,0.54,0,0.84,0.54,1.2,1.08,1.57,12.95,6.75,0.02,3.31,3.25,7.53,1.57,2.66,52,52,37.04,81,0.51,33.85,93,5.2,8.79,0.42,1.51,1.93,0,0.18,14,0.06,0.07,0.02,-0.02,0.13
Shaquille Pinas,Hammarby,Allsvenskan,2660,Full Back,26,0.14,0.06,0.06,1.01,13,20,1,0.1,0.05,0.81,0.24,0.51,0.41,0.85,2.36,3.46,14.78,7.58,0.07,5.11,3.86,10.45,3.13,5.49,56,58,54.81,81,0.45,47.5,96,4.37,12.69,0.85,1.86,2.71,0.17,0.27,33,0.1,0.08,0.08,-0.03,0.22
Rami Kaib,Elfsborg,Allsvenskan,1055,Full Back,27,0.17,0.08,0.07,1.19,14,43,1,0.09,0.1,1.28,0.26,0.68,0.26,0.77,1.06,1.24,16.2,8.44,0.04,4.26,4.18,10.49,0.68,1.74,37,39,40.77,71,0.55,36.84,93,4.47,11.09,1.11,2.81,3.92,0.17,0.94,24,0.22,0.07,0.03,-0.03,0.29
Samuel Dahl,Djurgården,Allsvenskan,1493,Full Back,21,0,0.01,0.03,0.42,0,14,0,0.12,0.13,1.63,0.12,1.51,0.96,0.84,1.91,1.41,19.66,11.27,0.01,6.69,4.28,9.1,3.94,5.85,53,52,51.97,82,0.55,45.76,95,4.82,16.46,1.27,1.45,2.71,0.06,1.02,40,0.24,0.1,0.03,-0.02,0.36
Eskil Smidesang Edh,AIK,Allsvenskan,1850,Full Back,22,0.1,0.04,0.08,0.49,20,20,0,0,0.02,0.49,0.1,0.78,0.44,0.58,2.08,2.53,18.98,9.88,0.03,4.96,5.3,10.85,2.58,4.66,66,62,41.12,77,0.35,33.48,96,4.24,9.73,0.83,1.56,2.38,0,0.29,35,0.1,0.05,0.05,0.03,0.23
Dennis Widgren,Sirius,Allsvenskan,2392,Full Back,30,0,0.02,0.05,0.34,0,22,0,0,0.06,0.72,0,0.72,0.38,0.45,1.85,1.89,13.21,6.74,0.01,3.84,2.67,8.88,1.75,3.6,59,33,50.8,84,0.47,43.99,97,3.57,10.2,0.87,0.64,1.51,0.08,0.3,29,0.17,0.07,0.05,-0.02,0.27
Adam Lundkvist,Häcken,Allsvenskan,2182,Full Back,30,0,0.02,0.03,0.62,0,20,0,0.12,0.07,0.87,0.12,0.87,0.62,1.11,2.34,2.62,18.85,10.56,0.03,5.16,3.3,8.62,4.13,6.47,63,52,50.44,85,0.52,45.29,95,4.3,16.5,1.48,1.57,3.05,0.08,1.2,39,0.13,0.09,0.01,-0.02,0.21
Jacob Laursen,Häcken,Allsvenskan,834,Full Back,30,0,0.04,0.05,0.76,0,14,0,0,0.08,0.86,0,0.54,0.22,0.97,0.81,3.39,16.62,7.99,0.02,4.86,4.32,9.18,3.05,3.86,92,48,59.04,88,0.35,53.75,96,5.01,14.14,1.08,1.08,2.16,0,0.76,41,0.19,0.08,0.1,-0.03,0.34
Marcus Baggesen,Norrköping,Allsvenskan,635,Full Back,21,0,0.03,0.04,0.85,0,17,1,0,0.12,0.57,0,0.71,0.14,1.56,1.11,1.9,17.58,8.22,0,4.82,2.69,6.95,2.48,3.59,64,38,31.48,79,0.33,31.34,90,4.85,7.66,1.13,0.85,1.99,0,0.99,41,0.16,0.05,0.05,-0.02,0.24
Yahya Kalley,Norrköping,Allsvenskan,2111,Full Back,23,0,0.01,0.05,0.3,0,29,0,0,0.02,0.17,0,1.88,0.94,1.07,0.64,1.46,14.33,6.61,0.02,2.98,2.17,5.63,1.01,1.65,44,39,29.89,86,0.24,31.59,90,5.57,6.44,0.43,0.64,1.07,0.04,0.26,25,0.04,0.06,-0.01,-0.02,0.07
Oscar Wendt,IFK Göteborg,Allsvenskan,1052,Full Back,39,0.09,0.02,0.04,0.51,17,33,0,0,0.13,1.37,0.09,0.26,0.17,0.26,0.77,2.75,10.09,4.53,0.01,3.08,2.48,7.95,1.3,2.07,73,48,35.92,77,0.31,28.65,98,4.09,5.9,0.34,1.2,1.54,0,0.51,29,0.29,0.03,0.07,0.01,0.4
Anders Trondsen,IFK Göteborg,Allsvenskan,1711,Full Back,29,0,0.03,0.04,0.58,0,9,0,0.11,0.07,0.79,0.11,0.79,0.42,1.05,1.34,2.35,11.99,6.21,0.03,3.1,3.26,9.05,1.61,2.95,50,63,35.34,75,0.3,31.4,93,5.07,10.2,0.63,1.74,2.37,0,0.79,37,0.13,0.07,0.04,-0.04,0.19
Alex Gersbach,Kalmar,Allsvenskan,1130,Full Back,27,0,0.02,0.05,0.4,0,40,0,0.16,0.06,0.8,0.16,0.96,0.24,0.56,2.44,2.58,14.97,7.88,0.01,4.22,2.95,7.65,1.13,3.57,50,55,46.59,74,0.2,37.67,96,4.81,9.56,1.51,0.88,2.39,0,0.8,34,0.18,0.07,-0.01,-0.01,0.23
Gabriel Dal Toé Busanello,Malmö FF,Allsvenskan,2228,Full Back,26,0.04,0.03,0.03,0.89,5,18,0,0.24,0.09,1.66,0.28,0.97,0.44,0.97,2.51,1.74,14.91,6.91,0.03,4,4.65,9.05,3.19,5.7,74,41,64.6,83,0.71,58.17,96,3.91,20.04,1.66,1.9,3.56,0.04,0.97,31,0.3,0.08,0.02,-0.03,0.37
Albin Zackarias Lohikangas,Värnamo,Allsvenskan,1244,Full Back,26,0,0.02,0.04,0.51,0,0,0,0,0.04,0.65,0,0.51,0.29,1.37,1.61,2.06,21.78,9.91,0.03,5.64,4.27,9.34,2.26,3.87,69,36,43.2,80,0.41,36.69,93,3.88,10.06,0.72,1.45,2.17,0.07,0.22,20,0.08,0.06,0.09,-0.02,0.2
Viktor Bergh,Värnamo,Allsvenskan,1432,Full Back,25,0.13,0.1,0.12,0.82,15,38,1,0.06,0.12,0.82,0.19,1.13,0.5,1.01,1.01,0.84,13.76,6.85,0.03,4.15,3.08,7.98,1.08,2.09,43,41,32.48,77,0.29,27.77,93,4.56,9.61,0.75,1.88,2.64,0,0.5,33,0.1,0.1,0.03,0,0.23
Kaare Brøckner Barslund,Brommapojkarna,Allsvenskan,1632,Full Back,20,0.06,0.04,0.11,0.33,17,33,0,0,0.01,0.22,0.06,0.77,0.5,0.5,0.88,2.66,10.53,6.01,0.04,3.09,2.7,9.48,0.76,1.64,50,63,57.96,88,0.61,50.84,98,4.31,7.66,0.39,0.61,0.99,0.06,0.11,40,0.04,0.06,0.03,0.02,0.14
Derek Cornelius,Malmö FF,Allsvenskan,1143,Centre Back,27,0.16,0.1,0.09,1.1,14,36,0,0,0.01,0.32,0.16,0.39,0.32,0.32,1.87,4.69,11.26,5.91,0.09,5.36,2.52,11.58,2.74,4.61,79,73,67.81,92,0.8,56.78,99,3.24,5.28,0.08,2.6,2.68,0,0,,0.07,0.05,0.11,0.01,0.23
Marcus Danielson,Djurgården,Allsvenskan,2156,Centre Back,35,0,0.04,0.07,0.63,0,13,0,0,0.01,0.17,0,0.17,0.13,0.21,1.02,6,9.69,4.43,0.08,4.34,2,9.02,1.19,2.2,65,72,50.48,89,0.34,40.04,99,4.11,4.18,0,1.88,1.88,0.04,0.04,50,0.06,0.05,0,-0.04,0.08
Malcolm Jeng,Sirius,Allsvenskan,2764,Centre Back,19,0,0,0.02,0.03,0,100,0,0.03,0.01,0.1,0.03,0.29,0.13,0.29,1.12,4.85,6.81,3.48,0.09,2.96,1.82,9.67,0.56,1.69,58,47,55.33,92,0.42,47.52,99,4.59,3.61,0.07,0.03,0.1,0.03,0,,0.04,0.06,0.11,0,0.21
Marcus Olsson,Halmstad,Allsvenskan,1680,Centre Back,36,0.05,0.04,0.05,0.91,6,35,1,0.05,0.04,0.16,0.11,0.05,0,0.21,0.45,1.9,8.73,4.71,0.05,3.05,1.66,8.14,0.67,1.12,60,59,39.47,82,0.26,31.06,99,4.05,3.48,0.05,1.82,1.87,0,0,0,0.04,0.03,0.01,0.01,0.09
Joseph Baffoe,Halmstad,Allsvenskan,1869,Centre Back,32,0.05,0.03,0.08,0.39,13,25,0,0,0.01,0.14,0.05,0.05,0.05,0.14,0.39,2.13,8.53,3.76,0.08,3.32,1.49,8.38,0.43,0.82,54,49,37.09,83,0.17,28.61,99,2.91,2.31,0.05,1.06,1.11,0.05,0,0,0.05,0.05,0.02,0,0.12
Anes Cardaklija,GAIS,Allsvenskan,1007,Centre Back,19,0,0.04,0.08,0.45,0,40,0,0,0,0.09,0,0.09,0.09,0.27,0.99,4.43,10.45,6.26,0.06,4.56,1.97,8.04,1.56,2.55,63,58,51.38,89,0.33,42.36,99,5.05,3.75,0.09,0.8,0.89,0,0.09,50,0.01,0.07,0.02,0,0.1
Robin Sixten Frej,GAIS,Allsvenskan,1307,Centre Back,26,0,0.04,0.11,0.41,0,17,0,0,0.01,0.14,0,0.14,0,0.34,0.89,4.03,7.92,4.54,0.06,3.99,2.68,9.71,0.69,1.58,54,71,44.95,86,0.47,36.76,97,4.65,4.54,0.34,0.96,1.31,0.07,0.07,20,0.02,0.04,0.06,-0.05,0.07
Jakob Kiilerich Rask,Mjällby,Allsvenskan,1087,Centre Back,24,0.17,0.21,0.2,1.08,15,46,0,0,0.02,0.33,0.17,0.17,0.08,0.33,1.17,4.72,11.18,5.71,0.03,3.81,1.57,9.28,1.6,2.77,60,64,50.69,83,0.49,39.51,98,3.78,4.56,0.25,2.65,2.9,0.08,0.17,33,0.03,0.03,0.08,0.01,0.14
Sotirios Papagiannopoulos,AIK,Allsvenskan,2269,Centre Back,34,0,0.02,0.05,0.44,0,0,0,0,0.01,0.2,0,0.08,0,0.32,1.04,4.09,8.81,4.48,0.09,4.05,2.06,9.76,1.27,2.31,65,71,43.8,88,0.39,34.39,99,3.64,2.66,0.12,0.95,1.07,0,0.04,100,0.05,0.04,-0.02,-0.03,0.05
Benjamin Hansen,AIK,Allsvenskan,2907,Centre Back,30,0.09,0.05,0.08,0.62,15,30,0,0,0.01,0.12,0.09,0.06,0.06,0.09,1.35,4.39,6.93,3.37,0.07,3.31,2.32,9.1,0.96,2.31,67,60,51.35,87,0.43,39,100,3.2,4.09,0.06,1.58,1.64,0,0,0,0.04,0.01,0.03,-0.02,0.07
Pavle Vagic,Hammarby,Allsvenskan,1984,Centre Back,24,0,0.01,0.05,0.14,0,33,0,0.05,0,0.05,0.05,0.36,0.27,0.18,1.93,4.4,11.02,5.44,0.06,3.76,1.95,8.07,2.3,4.23,65,58,57.19,93,0.3,50.75,99,3.15,3.72,0.09,0.41,0.5,0,0.05,100,0.04,0.04,0.08,-0.01,0.14
Victor Eriksson,Hammarby,Allsvenskan,1671,Centre Back,24,0,0.05,0.08,0.54,0,30,0,0,0,0.11,0,0.38,0.27,0.05,2.41,6.63,13.09,6.14,0.04,4.31,2.48,9.48,2.57,4.98,70,80,57.19,88,0.44,45.61,99,4.12,3.39,0.05,1.35,1.4,0.05,0,0,0,0.03,0.09,-0.04,0.07
Terry Yegbe,Elfsborg,Allsvenskan,2138,Centre Back,23,0.13,0.08,0.11,0.72,18,29,0,0.04,0.03,0.38,0.17,0.63,0.51,0.08,0.96,3.2,8.42,4.63,0.05,3.12,2.86,10.4,0.85,1.81,50,59,49.88,78,0.52,42.39,99,3.93,5.22,0.46,1.14,1.6,0.13,0.25,18,0.11,0.05,0.02,-0.04,0.14
Jacob Une-Larsson,Djurgården,Allsvenskan,1716,Centre Back,30,0,0.03,0.07,0.37,0,14,0,0,0,0.1,0,0,0,0.16,1.6,4.2,13.32,6.87,0.04,4.88,2.88,10.54,1.64,3.23,65,67,54.28,89,0.39,39.12,99,3.51,5.03,0.21,1.1,1.31,0,0,0,0.06,0.02,0,-0.03,0.05
Filip Beckman,GAIS,Allsvenskan,1380,Centre Back,21,0.07,0.05,0.06,0.78,8,25,0,0,0.01,0.07,0.07,0,0,0.26,0.9,3.43,7.96,3.91,0.07,3.85,1.57,7.76,0.74,1.64,85,62,35.67,80,0.36,27.91,98,4.62,2.61,0.07,1.57,1.63,0,0.07,33,0.02,0.03,0.09,0,0.14
Tom Pettersson,Mjällby,Allsvenskan,1981,Centre Back,34,0.09,0.12,0.1,1.18,8,31,1,0,0.03,0.36,0.09,0.14,0.09,0.23,1.61,4.36,6.36,2.95,0.07,2.45,2.5,9.99,0.88,2.48,67,69,50.06,85,0.54,39.98,98,3.44,5.68,0.09,3.73,3.82,0,0.05,8,0,0.05,0.01,-0.01,0.05
Marius Lode,Häcken,Allsvenskan,2556,Centre Back,31,0,0.01,0.05,0.11,0,0,0,0,0.01,0.14,0,0.39,0.28,0.14,0.98,3.95,8.8,3.94,0.07,3.28,2.43,9.79,1.27,2.24,53,67,68.74,93,0.55,57.79,99,5.8,8.21,0.04,0.21,0.25,0,0.04,100,0.08,0.09,-0.01,-0.01,0.16
Kevin Höög-Jansson,Norrköping,Allsvenskan,733,Centre Back,24,0.12,0.12,0.14,0.86,14,57,1,0.12,0.05,0.49,0.25,0.49,0.25,0.25,1.29,2.12,18.31,10.2,0.06,5.77,2.95,9.22,2.32,3.61,56,58,54.31,83,0.51,43.37,99,4.61,7.37,0.25,0.86,1.11,0.12,0,0,0.09,0.05,0.05,-0.11,0.08
Max Watson,Norrköping,Allsvenskan,2700,Centre Back,28,0,0.02,0.08,0.2,0,0,0,0.07,0.02,0.47,0.07,0.23,0.17,0.2,1.23,4.77,7.57,4,0.1,4.1,2.47,10.44,0.78,2.01,60,61,52.08,88,0.31,40.31,99,4.44,3.13,0.1,0.67,0.77,0,0.13,44,0.04,0.04,0.04,-0.02,0.09
Adam Carlén,IFK Göteborg,Allsvenskan,1744,Centre Back,24,0,0.06,0.06,0.98,0,32,1,0.05,0.02,0.41,0.05,0.83,0.31,0.93,0.93,3.63,22.8,11.61,0.03,6.09,4.9,12.8,2.69,3.62,68,54,43.96,77,0.39,35.86,95,5,7.48,0.67,1.5,2.17,0.05,0.1,22,0.06,0.08,0.05,-0.08,0.11
Sebastian Lund Hausner,IFK Göteborg,Allsvenskan,1040,Centre Back,24,0,0.04,0.06,0.61,0,14,0,0,0,0.09,0,0.26,0,0.35,1.01,2.76,10.13,4.76,0.07,3.12,2.51,9.78,0.87,1.89,88,67,53.85,82,0.5,41.56,98,3.94,5.45,0.43,1.99,2.42,0,0,0,0.03,0.04,0.02,-0.05,0.03
V.Osuji,Kalmar,Allsvenskan,1345,Centre Back,18,0.07,0.06,0.07,0.87,8,15,0,0,0,0.07,0.07,0.67,0.54,0.4,1.48,5.06,12.78,6.69,0.05,4.82,1.94,9.57,1.79,3.27,47,76,50.77,88,0.43,44.01,98,4.24,1.81,0.07,1.47,1.54,0.07,0,,0.01,0.06,0.05,-0.07,0.04
Nils Zätterström,Malmö FF,Allsvenskan,1060,Centre Back,19,0.17,0.01,0.06,0.17,100,100,0,0,0,0,0.17,0.59,0.25,0.93,2.73,5.2,13.08,6.96,0.04,5.01,2.55,11.72,3.25,5.98,63,67,59.44,88,0.59,50.19,97,3.91,4.42,0,0.17,0.17,0,0,0,0.07,0.05,0.06,0.04,0.22
Emin Hasić,Värnamo,Allsvenskan,825,Centre Back,21,0,0.02,0.16,0.11,0,0,0,0,0.01,0.11,0,0.22,0.11,0.22,0.93,4.36,14.29,7.64,0.1,4.91,2.18,10.47,0.95,1.88,50,57,54.87,87,0.46,42.54,99,4.21,2.95,0,0.87,0.87,0,0,,-0.04,0.04,0.04,-0.03,0.02
Emin Grozdanic,Värnamo,Allsvenskan,1701,Centre Back,25,0,0.02,0.03,0.85,0,38,1,0.05,0.04,0.42,0.05,0.32,0.26,0.21,1.13,3.06,10.8,5.24,0.06,3.49,3.18,10.64,1.99,3.11,72,42,57.85,84,0.35,47.16,99,4.46,7.57,0.53,0.53,1.06,0,0.21,24,0.11,0.08,0.02,-0.02,0.19
André Calisir,Brommapojkarna,Allsvenskan,1592,Centre Back,34,0,0.02,0.07,0.34,0,17,0,0,0,0.06,0,0.4,0.28,0.62,1.86,3.19,15.26,8.76,0.05,5.09,3.28,9.05,1.93,3.78,60,62,51.9,90,0.47,43.02,98,3.59,5.37,0.34,0.9,1.24,0,0,0,-0.01,0.04,-0.03,-0.02,-0.02
Hlynur Freyr Karlsson,Brommapojkarna,Allsvenskan,947,Centre Back,20,0,0.02,0.2,0.1,0,100,0,0.1,0.04,0.19,0.1,0.1,0.1,0,0.52,5.22,6.56,3.33,0.09,4.09,1.43,7.13,0.73,1.25,43,63,51.22,89,0.47,42.57,100,3.77,2.09,0.29,0.48,0.76,0.1,0.1,25,0.09,0.02,0.07,0.06,0.24
Torbjørn Heggem,Brommapojkarna,Allsvenskan,1161,Centre Back,25,0.08,0.1,0.08,1.16,7,13,1,0,0.09,0.62,0.08,0.46,0.15,0.77,1.61,2.93,11.55,5.11,0.05,3.49,2.87,8.91,1.31,2.93,65,73,50.22,83,0.72,43.32,97,4.77,8.37,0.62,3.25,3.87,0,0.62,40,0.15,0.06,0.1,-0.06,0.25
Alex Raymond Douglas,Västerås SK,Allsvenskan,1099,Centre Back,23,0,0.06,0.09,0.66,0,13,0,0,0,0.25,0,0.66,0.33,0.41,1.87,3.92,14.17,6.55,0.04,4.34,3.6,12.29,1.92,3.79,73,62,55.78,88,0.59,46.94,97,4.66,10.16,0.25,1.23,1.47,0,0.08,33,0.07,0.1,0.07,-0.04,0.2
Rasmus Sjöstedt,Kalmar,Allsvenskan,2025,Centre Back,32,0,0.03,0.11,0.27,0,50,0,0,0,0.09,0,0.09,0,0.09,1.12,3.5,9.47,4.93,0.05,3.16,1.64,8.13,1.54,2.66,67,55,57.5,92,0.31,46.48,99,3.41,2.8,0.22,0.62,0.84,0,0.04,25,0.05,0.03,0.01,0.01,0.1
Samuel Junior Kotto,Värnamo,Allsvenskan,1328,Centre Back,21,0.07,0.05,0.11,0.47,14,43,0,0,0,0.07,0.07,0.47,0.47,0.27,1.27,4.09,8.68,4.54,0.06,4,2.58,11.66,1.45,2.73,63,75,53.69,83,0.24,43.32,99,4.21,2.85,0.27,1.08,1.36,0,0.07,17,0.06,0.05,0.05,0,0.16
August Erlingmark,IFK Göteborg,Allsvenskan,1104,Centre Back,26,0,0.09,0.1,0.98,0,8,0,0,0,0,0,0.08,0.08,0.33,1.13,3.95,11.74,6.36,0.06,3.59,3.67,11.74,0.96,2.08,25,61,46.22,84,0.44,34.16,99,5,6.11,0.16,1.71,1.87,0,0.08,50,0.02,0.09,0.01,-0.12,0
Birnir Snær Ingason,Halmstad,Allsvenskan,1454,Centre Forward,28,0.19,0.12,0.06,1.92,10,32,5,0,0.05,0.93,0.19,2.97,1.61,2.29,0.17,0.24,12.26,5.38,0,1.36,2.85,5.38,0.41,0.58,33,14,18.14,74,0.26,23.71,78,6.21,5.69,0.56,2.72,3.28,0,0.43,39,-0.02,0.05,-0.02,-0.03,-0.01
Naeem Mohammed,Halmstad,Allsvenskan,994,Centre Forward,28,0.36,0.32,0.27,1.18,31,62,3,0.18,0.07,0.45,0.54,2.45,0.91,1.99,0.01,0.12,23.91,10.32,0,2.17,2.99,5.89,0.3,0.31,0,13,13.13,75,0.21,18.38,69,6.68,4.44,0.63,2.99,3.62,0,0.18,25,0.02,0.08,0.01,0.13,0.24
Ajdin Zeljkovic,Värnamo,Allsvenskan,2210,Centre Forward,27,0.16,0.17,0.06,2.97,5,34,4,0.08,0.06,0.77,0.24,2.28,1.1,1.43,0.48,0.72,20.49,10.71,0.01,3.22,3.14,6.03,0.94,1.42,47,25,28.23,83,0.35,29.33,86,5.36,9.25,0.57,3.38,3.95,0.08,0.29,35,-0.03,0.08,0.02,-0.05,0.02
Axel Henriksson,GAIS,Allsvenskan,1732,Attacking Midfielder,22,0.42,0.16,0.1,1.66,25,63,3,0.16,0.14,1.14,0.57,1.35,0.94,0.94,0.69,0.74,20.99,10.81,0.04,3.95,5.04,8.57,1.61,2.31,29,63,28.22,68,0.4,25.05,87,5.01,10.44,0.99,6.24,7.22,0.05,0.73,41,0.06,0.06,0.02,0.11,0.25
Jonas Lindberg,GAIS,Allsvenskan,639,Attacking Midfielder,35,0.28,0.23,0.09,2.67,11,32,2,0,0.17,1.83,0.28,1.55,0.84,2.11,0.33,0.66,20.7,10.28,0.02,3.8,5.07,8.73,1.76,2.09,29,35,45.05,75,0.67,45.33,91,4.58,17.18,1.55,5.35,6.9,0.14,0.56,18,0.03,0.02,0.08,-0.13,0.01
Dino Beširović,AIK,Allsvenskan,1155,Attacking Midfielder,30,0.39,0.2,0.12,1.64,24,38,2,0,0.08,0.78,0.39,0.39,0.08,1.4,1.06,0.84,27.59,13.56,0.03,4.75,3.97,7.4,2.57,3.62,32,44,33.75,83,0.36,29.07,91,4.16,10.37,0.62,3.97,4.6,0,0.31,21,0.04,0.02,0.05,0.04,0.15
William Milovanovic,GAIS,Allsvenskan,2057,Attacking Midfielder,22,0.09,0.13,0.08,1.66,5,18,3,0.09,0.09,1.05,0.18,1.44,0.92,1.66,0.39,0.95,24.33,11.2,0.03,4.42,4.77,9.28,1.85,2.24,58,48,23.06,74,0.38,22.27,83,5.9,7.75,0.83,3.85,4.68,0.13,0.22,36,0.02,0.06,0.06,-0.08,0.06
Amin Boudri,GAIS,Allsvenskan,1000,Attacking Midfielder,20,0.18,0.24,0.09,2.61,7,28,4,0,0.09,1.35,0.18,5.58,2.7,2.43,0.24,1.1,28.17,12.78,0.02,4.77,4.59,7.56,1.47,1.71,50,37,21.15,86,0.45,31.59,77,8.14,9.81,0.72,3.69,4.41,0,0.54,55,0.03,0.18,0.03,-0.02,0.21
Pontus Dahbo,Häcken,Allsvenskan,775,Attacking Midfielder,19,0,0.17,0.09,1.86,0,25,2,0.12,0.11,1.98,0.12,1.63,0.81,1.74,0.89,0.73,26.96,14.41,0,4.3,5.11,8.37,2.62,3.51,47,38,37.07,84,0.46,38,90,4.81,15.8,0.35,3.37,3.72,0.23,0.12,8,-0.02,0.06,0.01,-0.09,-0.05
Mikkel Rygaard,Häcken,Allsvenskan,1919,Attacking Midfielder,34,0.14,0.12,0.06,2.06,7,20,1,0.33,0.2,2.63,0.47,2.02,0.75,1.83,1.44,1.02,18.43,10.36,0.02,3.99,3.61,6.56,1.02,2.46,24,37,56.32,83,0.54,53.32,92,4.57,21.85,1.64,3.24,4.88,0.23,0.47,37,0.06,0.07,0.02,-0.02,0.12
Otto Rosengren,Malmö FF,Allsvenskan,1242,Defensive Midfielder,21,0.07,0.06,0.04,1.45,5,15,1,0,0.1,1.16,0.07,0.72,0.22,1.59,1.83,1.12,24.86,14.06,0.01,4.13,5.07,10.22,2.98,4.81,42,41,55.22,84,0.59,48.99,95,3.86,17.75,0.87,1.52,2.39,0.07,0.22,17,0.02,0.08,0.02,-0.02,0.09
Besard Sabovic,Djurgården,Allsvenskan,2214,Defensive Midfielder,26,0.12,0.04,0.05,0.77,16,26,0,0,0.08,1.18,0.12,1.3,0.69,0.73,1.23,1.29,22.44,11.59,0.04,4.88,4.68,9.8,2.57,3.8,59,59,48.99,83,0.45,39.15,95,3.92,13.5,0.89,0.89,1.79,0.16,0.28,37,0.06,0.07,0.04,0.01,0.17
